DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
21/04/2017 16:45 (UTC),-69.65980529785156,171.98257446289062,0.596603713372951,15.058823529411764
21/04/2017 17:00 (UTC),-69.65828704833984,171.98072814941406,0.42835498883403617,15.058823529411764
21/04/2017 17:15 (UTC),-69.65677642822266,171.97866821289062,0.36483420414658774,17.066666666666666
21/04/2017 17:30 (UTC),-69.65534210205078,171.9768524169922,0.49545130845440977,13.473684210526315
21/04/2017 17:45 (UTC),-69.65396118164062,171.97508239746094,0.4416152155645522,13.473684210526315
21/04/2017 18:00 (UTC),-69.6528091430664,171.9736785888672,0.5607423607624336,13.473684210526315
21/04/2017 18:15 (UTC),-69.6515884399414,171.97267150878906,0.435449187267411,14.222222222222221
21/04/2017 18:30 (UTC),-69.65066528320312,171.97174072265625,0.3807781426291611,13.473684210526315
21/04/2017 18:45 (UTC),-69.64966583251953,171.9708251953125,0.3086486719245338,13.473684210526315
21/04/2017 19:00 (UTC),-69.6486587524414,171.97006225585938,0.33341865143061644,13.473684210526315
21/04/2017 19:15 (UTC),-69.64787292480469,171.96971130371094,0.3684996636116118,15.058823529411764
21/04/2017 19:30 (UTC),-69.64700317382812,171.96963500976562,0.5035077078872333,13.473684210526315
21/04/2017 19:45 (UTC),-69.64622497558594,171.96995544433594,0.3150365050106216,17.066666666666666
21/04/2017 20:00 (UTC),-69.64555358886719,171.97030639648438,0.38638840639939126,13.473684210526315
21/04/2017 20:15 (UTC),-69.6449966430664,171.9712677001953,0.3463177685745613,18.285714285714285
21/04/2017 20:30 (UTC),-69.64437103271484,171.9724884033203,0.3191237955313462,12.8
21/04/2017 20:45 (UTC),-69.64373016357422,171.97348022460938,0.3395055205861215,15.058823529411764
21/04/2017 21:00 (UTC),-69.64301300048828,171.9745635986328,0.27646337392208103,13.473684210526315
21/04/2017 21:15 (UTC),-69.64241027832031,171.9759521484375,0.2765212421569891,14.222222222222221
21/04/2017 21:30 (UTC),-69.64176177978516,171.9777374267578,0.2866356633137186,13.473684210526315
21/04/2017 21:45 (UTC),-69.6410903930664,171.9794158935547,0.3243454949699292,16.0
21/04/2017 22:00 (UTC),-69.64036560058594,171.9814453125,0.3026284801719506,14.222222222222221
21/04/2017 22:15 (UTC),-69.63948059082031,171.98370361328125,0.3331546180183465,13.473684210526315
21/04/2017 22:45 (UTC),-69.6374740600586,171.9885711669922,0.3503141491976191,12.8
21/04/2017 23:00 (UTC),-69.63642883300781,171.99090576171875,0.39140771648566264,12.19047619047619
21/04/2017 23:15 (UTC),-69.63540649414062,171.99331665039062,0.44016361023230394,12.8
21/04/2017 23:45 (UTC),-69.63323211669922,171.9985809326172,0.47697379390036815,12.8
22/04/2017 00:00 (UTC),-69.6322021484375,172.0010223388672,0.38079915671024794,15.058823529411764
22/04/2017 00:15 (UTC),-69.63111114501953,172.00326538085938,0.474636705027676,13.473684210526315
22/04/2017 00:30 (UTC),-69.63003540039062,172.00543212890625,0.4144007722541341,16.0
22/04/2017 00:45 (UTC),-69.6290054321289,172.00735473632812,0.46013911657381795,14.222222222222221
22/04/2017 01:00 (UTC),-69.62793731689453,172.0093231201172,0.3802525503322592,15.058823529411764
22/04/2017 01:15 (UTC),-69.62693786621094,172.0107879638672,0.4242829198760167,12.8
22/04/2017 01:30 (UTC),-69.62579345703125,172.0125274658203,0.46449972292724495,12.19047619047619
22/04/2017 01:45 (UTC),-69.62469482421875,172.01382446289062,0.44121650398461393,13.473684210526315
22/04/2017 02:00 (UTC),-69.62361907958984,172.01502990722656,0.5809096211376584,13.473684210526315
22/04/2017 02:15 (UTC),-69.62274169921875,172.016357421875,0.5277423623678487,12.8
22/04/2017 02:30 (UTC),-69.621826171875,172.01722717285156,0.5365370319256433,12.19047619047619
22/04/2017 02:45 (UTC),-69.62055206298828,172.0179443359375,0.5063753479142078,14.222222222222221
22/04/2017 03:00 (UTC),-69.61951446533203,172.0184326171875,0.5843286679510148,12.19047619047619
22/04/2017 03:15 (UTC),-69.6185531616211,172.01844787597656,0.4120582440372167,12.8
22/04/2017 03:30 (UTC),-69.6177749633789,172.01812744140625,0.5326011529403624,12.8
