DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
02/06/2017 21:00 (UTC),-67.8279800415039,-176.08346557617188,0.7790866271811083,25.6
02/06/2017 21:15 (UTC),-67.8255386352539,-176.0829620361328,0.13169662037412888,17.066666666666666
02/06/2017 21:30 (UTC),-67.8253173828125,-176.08169555664062,0.10111379539649348,17.066666666666666
02/06/2017 21:45 (UTC),-67.82428741455078,-176.08010864257812,0.14444376256506195,17.066666666666666
02/06/2017 22:00 (UTC),-67.82308959960938,-176.0786590576172,0.18744599041307222,18.285714285714285
02/06/2017 22:15 (UTC),-67.82193756103516,-176.0770263671875,,
02/06/2017 22:30 (UTC),-67.82083129882812,-176.07484436035156,0.15954936577576143,19.692307692307693
02/06/2017 22:45 (UTC),-67.81962585449219,-176.0726318359375,0.1545056608476243,18.285714285714285
02/06/2017 23:00 (UTC),-67.81834411621094,-176.07028198242188,0.11558546714648339,19.692307692307693
02/06/2017 23:30 (UTC),-67.81586456298828,-176.064697265625,0.13175735250755197,18.285714285714285
02/06/2017 23:45 (UTC),-67.81459045410156,-176.0618896484375,0.10499523857367626,17.066666666666666
03/06/2017 00:00 (UTC),-67.81330871582031,-176.0589141845703,0.11192855042155388,19.692307692307693
03/06/2017 00:15 (UTC),-67.81201934814453,-176.05563354492188,,
03/06/2017 00:30 (UTC),-67.81056213378906,-176.05224609375,0.10315037563259509,16.0
03/06/2017 00:45 (UTC),-67.80896759033203,-176.04843139648438,0.1163443152585311,18.285714285714285
03/06/2017 01:00 (UTC),-67.80729675292969,-176.04446411132812,0.10822199302350326,17.066666666666666
03/06/2017 01:15 (UTC),-67.80561828613281,-176.04052734375,,
03/06/2017 01:30 (UTC),-67.80380249023438,-176.03640747070312,,
03/06/2017 01:45 (UTC),-67.80194091796875,-176.0319061279297,0.11178550959675651,18.285714285714285
03/06/2017 02:00 (UTC),-67.80001831054688,-176.02769470214844,,
03/06/2017 02:15 (UTC),-67.79823303222656,-176.0233612060547,,
03/06/2017 02:30 (UTC),-67.79633331298828,-176.01943969726562,,
03/06/2017 13:00 (UTC),-67.7718734741211,-175.99639892578125,,
03/06/2017 13:15 (UTC),-67.77214813232422,-175.99478149414062,,
03/06/2017 13:30 (UTC),-67.77239227294922,-175.99290466308594,,
03/06/2017 13:45 (UTC),-67.7725830078125,-175.99090576171875,,
03/06/2017 14:00 (UTC),-67.77274322509766,-175.9889373779297,,
03/06/2017 14:15 (UTC),-67.77290344238281,-175.98635864257812,,
03/06/2017 14:30 (UTC),-67.77303314208984,-175.9844207763672,,
03/06/2017 14:45 (UTC),-67.77315521240234,-175.98257446289062,,
03/06/2017 15:00 (UTC),-67.77325439453125,-175.98081970214844,,
03/06/2017 15:15 (UTC),-67.77344512939453,-175.97914123535156,,
03/06/2017 15:30 (UTC),-67.77356719970703,-175.97744750976562,,
03/06/2017 15:45 (UTC),-67.77368927001953,-175.97592163085938,,
03/06/2017 16:00 (UTC),-67.77385711669922,-175.97467041015625,,
03/06/2017 16:15 (UTC),-67.7740249633789,-175.97349548339844,,
03/06/2017 16:30 (UTC),-67.77424621582031,-175.9725341796875,,
03/06/2017 16:45 (UTC),-67.77437591552734,-175.97189331054688,,
03/06/2017 17:00 (UTC),-67.7745361328125,-175.97108459472656,,
03/06/2017 17:15 (UTC),-67.77484893798828,-175.97100830078125,,
03/06/2017 17:45 (UTC),-67.77559661865234,-175.9712371826172,,
03/06/2017 18:00 (UTC),-67.77599334716797,-175.97171020507812,,
03/06/2017 18:15 (UTC),-67.77654266357422,-175.97242736816406,,
03/06/2017 18:30 (UTC),-67.777099609375,-175.97372436523438,,
03/06/2017 18:45 (UTC),-67.77769470214844,-175.97532653808594,,
03/06/2017 19:00 (UTC),-67.77831268310547,-175.9773406982422,,
03/06/2017 19:15 (UTC),-67.7790756225586,-175.97923278808594,,
03/06/2017 19:30 (UTC),-67.77999114990234,-175.98098754882812,,
03/06/2017 19:45 (UTC),-67.78106689453125,-175.98265075683594,,
03/06/2017 20:00 (UTC),-67.78215789794922,-175.98435974121094,,
03/06/2017 20:15 (UTC),-67.7833023071289,-175.9868927001953,,
03/06/2017 20:30 (UTC),-67.78458404541016,-175.98866271972656,,
03/06/2017 20:45 (UTC),-67.78598022460938,-175.99124145507812,,
03/06/2017 21:00 (UTC),-67.78746032714844,-175.9932861328125,,
03/06/2017 21:15 (UTC),-67.78913879394531,-175.9952850341797,,
03/06/2017 21:30 (UTC),-67.79084014892578,-175.99697875976562,,
03/06/2017 21:45 (UTC),-67.7926025390625,-175.99867248535156,,
03/06/2017 22:00 (UTC),-67.79430389404297,-176.00013732910156,,
03/06/2017 22:15 (UTC),-67.79595947265625,-176.0011444091797,,
03/06/2017 22:30 (UTC),-67.79762268066406,-176.00177001953125,,
03/06/2017 22:45 (UTC),-67.79913330078125,-176.00198364257812,,
03/06/2017 23:00 (UTC),-67.80059051513672,-176.00152587890625,,
03/06/2017 23:15 (UTC),-67.80179595947266,-176.00071716308594,,
03/06/2017 23:30 (UTC),-67.80299377441406,-175.999267578125,,
03/06/2017 23:45 (UTC),-67.80390167236328,-175.9972381591797,,
04/06/2017 00:00 (UTC),-67.80476379394531,-175.99374389648438,,
04/06/2017 00:15 (UTC),-67.80536651611328,-175.98971557617188,,
04/06/2017 00:30 (UTC),-67.8058090209961,-175.98536682128906,,
04/06/2017 00:45 (UTC),-67.80603790283203,-175.98013305664062,,
04/06/2017 01:00 (UTC),-67.80609130859375,-175.97450256347656,,
04/06/2017 01:15 (UTC),-67.8059310913086,-175.9683837890625,,
04/06/2017 01:30 (UTC),-67.80551147460938,-175.96192932128906,,
04/06/2017 01:45 (UTC),-67.80484771728516,-175.95516967773438,,
04/06/2017 02:00 (UTC),-67.80399322509766,-175.9484100341797,,
04/06/2017 02:15 (UTC),-67.80304718017578,-175.94175720214844,,
04/06/2017 02:30 (UTC),-67.80198669433594,-175.9347686767578,,
04/06/2017 02:45 (UTC),-67.80088806152344,-175.9283447265625,,
04/06/2017 03:00 (UTC),-67.79950714111328,-175.92210388183594,,
04/06/2017 03:15 (UTC),-67.79810333251953,-175.9162139892578,,
04/06/2017 03:30 (UTC),-67.79666900634766,-175.9106903076172,,
04/06/2017 03:45 (UTC),-67.79524993896484,-175.905517578125,,
04/06/2017 04:00 (UTC),-67.79363250732422,-175.899658203125,,
04/06/2017 04:15 (UTC),-67.79227447509766,-175.89503479003906,,
04/06/2017 04:30 (UTC),-67.7908706665039,-175.89085388183594,,
04/06/2017 04:45 (UTC),-67.7895736694336,-175.8870391845703,,
04/06/2017 05:00 (UTC),-67.78836822509766,-175.8837432861328,,
04/06/2017 05:15 (UTC),-67.78712463378906,-175.88082885742188,,
04/06/2017 05:30 (UTC),-67.78614044189453,-175.878662109375,,
04/06/2017 05:45 (UTC),-67.7851791381836,-175.87640380859375,,
04/06/2017 06:00 (UTC),-67.78436279296875,-175.87489318847656,,
04/06/2017 06:15 (UTC),-67.78362274169922,-175.8739471435547,,
04/06/2017 06:30 (UTC),-67.78318786621094,-175.8740234375,,
04/06/2017 06:45 (UTC),-67.78288269042969,-175.87428283691406,,
04/06/2017 07:00 (UTC),-67.7826919555664,-175.87496948242188,,
04/06/2017 07:15 (UTC),-67.78291320800781,-175.876220703125,,
04/06/2017 07:30 (UTC),-67.78301239013672,-175.87730407714844,,
04/06/2017 07:45 (UTC),-67.78343963623047,-175.87899780273438,,
04/06/2017 08:00 (UTC),-67.78406524658203,-175.88121032714844,,
04/06/2017 08:15 (UTC),-67.78466033935547,-175.88369750976562,,
04/06/2017 08:30 (UTC),-67.78560638427734,-175.886474609375,,
04/06/2017 08:45 (UTC),-67.78665161132812,-175.88937377929688,,
04/06/2017 09:00 (UTC),-67.78778076171875,-175.89244079589844,,
04/06/2017 09:15 (UTC),-67.78925323486328,-175.89627075195312,,
04/06/2017 09:30 (UTC),-67.79088592529297,-175.9002227783203,,
04/06/2017 09:45 (UTC),-67.79248046875,-175.90414428710938,,
04/06/2017 10:00 (UTC),-67.7941665649414,-175.90847778320312,,
04/06/2017 10:15 (UTC),-67.79606628417969,-175.91305541992188,,
04/06/2017 10:30 (UTC),-67.79801177978516,-175.91757202148438,,
04/06/2017 10:45 (UTC),-67.80013275146484,-175.92190551757812,,
04/06/2017 11:00 (UTC),-67.80194854736328,-175.9259490966797,,
04/06/2017 11:15 (UTC),-67.80418395996094,-175.93075561523438,,
04/06/2017 11:45 (UTC),-67.80843353271484,-175.93939208984375,,
04/06/2017 12:00 (UTC),-67.81072235107422,-175.94375610351562,,
04/06/2017 12:15 (UTC),-67.81289672851562,-175.947998046875,,
04/06/2017 12:30 (UTC),-67.81517028808594,-175.9523468017578,,
04/06/2017 12:45 (UTC),-67.81745910644531,-175.95645141601562,,
04/06/2017 13:00 (UTC),-67.81974792480469,-175.96051025390625,,
04/06/2017 13:15 (UTC),-67.82198333740234,-175.9642791748047,,
04/06/2017 13:30 (UTC),-67.82421112060547,-175.96804809570312,,
04/06/2017 13:45 (UTC),-67.82627868652344,-175.9718017578125,,
04/06/2017 14:00 (UTC),-67.82826232910156,-175.97540283203125,,
