DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
03/06/2017 13:15 (UTC),-68.48609924316406,-175.92742919921875,,
03/06/2017 13:30 (UTC),-68.48628997802734,-175.92605590820312,,
03/06/2017 13:45 (UTC),-68.48655700683594,-175.92462158203125,,
03/06/2017 14:00 (UTC),-68.48651885986328,-175.92300415039062,,
03/06/2017 14:15 (UTC),-68.48661041259766,-175.92132568359375,,
03/06/2017 14:30 (UTC),-68.48677825927734,-175.9202117919922,,
03/06/2017 14:45 (UTC),-68.4869613647461,-175.9186248779297,,
03/06/2017 15:00 (UTC),-68.48714447021484,-175.91725158691406,,
03/06/2017 15:15 (UTC),-68.48741149902344,-175.91587829589844,,
03/06/2017 15:30 (UTC),-68.48761749267578,-175.91476440429688,,
03/06/2017 15:45 (UTC),-68.48780822753906,-175.9134979248047,,
03/06/2017 16:00 (UTC),-68.488037109375,-175.91261291503906,,
03/06/2017 16:15 (UTC),-68.48820495605469,-175.9113311767578,,
03/06/2017 16:30 (UTC),-68.48837280273438,-175.91043090820312,,
03/06/2017 16:45 (UTC),-68.48860931396484,-175.90953063964844,,
03/06/2017 17:00 (UTC),-68.4888687133789,-175.90869140625,,
03/06/2017 17:15 (UTC),-68.48925018310547,-175.9086151123047,,
03/06/2017 17:30 (UTC),-68.48961639404297,-175.9082794189453,,
03/06/2017 17:45 (UTC),-68.49002075195312,-175.9080810546875,,
03/06/2017 18:00 (UTC),-68.49038696289062,-175.907958984375,,
03/06/2017 18:15 (UTC),-68.49092102050781,-175.9078826904297,,
03/06/2017 18:30 (UTC),-68.49150085449219,-175.90794372558594,,
03/06/2017 18:45 (UTC),-68.4920654296875,-175.9077911376953,,
03/06/2017 19:00 (UTC),-68.49266052246094,-175.90768432617188,,
03/06/2017 19:15 (UTC),-68.49337005615234,-175.90757751464844,,
03/06/2017 19:30 (UTC),-68.4939193725586,-175.9071807861328,,
03/06/2017 19:45 (UTC),-68.49455261230469,-175.9073486328125,,
03/06/2017 20:00 (UTC),-68.49524688720703,-175.90704345703125,,
03/06/2017 20:15 (UTC),-68.49597930908203,-175.90682983398438,,
03/06/2017 20:30 (UTC),-68.49687957763672,-175.90687561035156,,
03/06/2017 20:45 (UTC),-68.49774169921875,-175.90676879882812,,
03/06/2017 21:00 (UTC),-68.49857330322266,-175.90655517578125,,
03/06/2017 21:15 (UTC),-68.49946594238281,-175.90631103515625,,
03/06/2017 21:30 (UTC),-68.50042724609375,-175.90594482421875,,
03/06/2017 21:45 (UTC),-68.50133514404297,-175.90562438964844,,
03/06/2017 22:00 (UTC),-68.5023422241211,-175.90513610839844,,
03/06/2017 22:15 (UTC),-68.50325012207031,-175.90447998046875,,
03/06/2017 22:30 (UTC),-68.50418090820312,-175.9036865234375,,
03/06/2017 22:45 (UTC),-68.50504302978516,-175.9027557373047,,
03/06/2017 23:00 (UTC),-68.50580596923828,-175.90213012695312,,
03/06/2017 23:15 (UTC),-68.50657653808594,-175.9010009765625,,
03/06/2017 23:30 (UTC),-68.50726318359375,-175.90008544921875,,
03/06/2017 23:45 (UTC),-68.5079116821289,-175.8988800048828,,
04/06/2017 00:15 (UTC),-68.509033203125,-175.89649963378906,,
04/06/2017 00:30 (UTC),-68.50948333740234,-175.89524841308594,,
04/06/2017 00:45 (UTC),-68.50984191894531,-175.89381408691406,,
04/06/2017 01:00 (UTC),-68.51004791259766,-175.89170837402344,,
04/06/2017 01:15 (UTC),-68.51009368896484,-175.88987731933594,,
04/06/2017 01:30 (UTC),-68.51012420654297,-175.8877716064453,,
04/06/2017 01:45 (UTC),-68.50995635986328,-175.8858642578125,,
04/06/2017 02:00 (UTC),-68.50965118408203,-175.88375854492188,,
04/06/2017 02:15 (UTC),-68.50902557373047,-175.88172912597656,,
04/06/2017 02:30 (UTC),-68.50784301757812,-175.8793487548828,,
04/06/2017 02:45 (UTC),-68.50691223144531,-175.87684631347656,,
04/06/2017 03:00 (UTC),-68.50582122802734,-175.87400817871094,,
04/06/2017 03:15 (UTC),-68.50462341308594,-175.87106323242188,,
04/06/2017 03:30 (UTC),-68.50334930419922,-175.86822509765625,,
04/06/2017 03:45 (UTC),-68.50199890136719,-175.8654327392578,,
04/06/2017 04:00 (UTC),-68.50066375732422,-175.86300659179688,,
04/06/2017 04:15 (UTC),-68.49920654296875,-175.8608856201172,,
04/06/2017 04:30 (UTC),-68.49779510498047,-175.8587188720703,,
04/06/2017 04:45 (UTC),-68.49649047851562,-175.85604858398438,,
04/06/2017 05:00 (UTC),-68.49519348144531,-175.85389709472656,,
04/06/2017 05:15 (UTC),-68.49394226074219,-175.85189819335938,,
04/06/2017 05:30 (UTC),-68.4927749633789,-175.84988403320312,,
04/06/2017 05:45 (UTC),-68.49176788330078,-175.84832763671875,,
04/06/2017 06:00 (UTC),-68.49073791503906,-175.8470001220703,,
04/06/2017 06:15 (UTC),-68.48983001708984,-175.8455810546875,,
04/06/2017 06:30 (UTC),-68.48896789550781,-175.8444061279297,,
04/06/2017 06:45 (UTC),-68.4884033203125,-175.84381103515625,,
04/06/2017 07:00 (UTC),-68.48785400390625,-175.84335327148438,,
04/06/2017 07:15 (UTC),-68.48744201660156,-175.84275817871094,,
04/06/2017 07:30 (UTC),-68.48687744140625,-175.84222412109375,,
04/06/2017 07:45 (UTC),-68.48664855957031,-175.84222412109375,,
04/06/2017 08:00 (UTC),-68.48638153076172,-175.84230041503906,,
04/06/2017 08:15 (UTC),-68.48632049560547,-175.84283447265625,,
04/06/2017 08:30 (UTC),-68.48635864257812,-175.8433074951172,,
04/06/2017 08:45 (UTC),-68.48656463623047,-175.84426879882812,,
04/06/2017 09:00 (UTC),-68.48697662353516,-175.8455352783203,,
04/06/2017 09:15 (UTC),-68.4875717163086,-175.846923828125,,
04/06/2017 09:30 (UTC),-68.48841094970703,-175.84869384765625,,
04/06/2017 09:45 (UTC),-68.48941040039062,-175.85060119628906,,
04/06/2017 10:00 (UTC),-68.49049377441406,-175.8526611328125,,
04/06/2017 10:15 (UTC),-68.49185180664062,-175.8546905517578,,
04/06/2017 10:30 (UTC),-68.49307250976562,-175.8568878173828,,
04/06/2017 10:45 (UTC),-68.49449920654297,-175.85919189453125,,
04/06/2017 11:00 (UTC),-68.49566650390625,-175.8614959716797,,
04/06/2017 11:15 (UTC),-68.49702453613281,-175.86434936523438,,
04/06/2017 11:30 (UTC),-68.49832153320312,-175.86734008789062,,
04/06/2017 11:45 (UTC),-68.49964141845703,-175.8705291748047,,
04/06/2017 12:00 (UTC),-68.50104522705078,-175.87448120117188,,
04/06/2017 12:15 (UTC),-68.5022964477539,-175.87899780273438,,
04/06/2017 12:30 (UTC),-68.50354766845703,-175.88385009765625,,
04/06/2017 12:45 (UTC),-68.50487518310547,-175.88912963867188,,
04/06/2017 13:00 (UTC),-68.50628662109375,-175.89512634277344,,
04/06/2017 13:15 (UTC),-68.50755310058594,-175.9009246826172,,
04/06/2017 13:30 (UTC),-68.50877380371094,-175.90684509277344,,
04/06/2017 13:45 (UTC),-68.51008605957031,-175.9124755859375,,
