DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
21/04/2017 10:45 (UTC),-69.38961029052734,171.99452209472656,0.6903216589082203,12.8
21/04/2017 11:00 (UTC),-69.38610076904297,171.9923553466797,1.0385836308047895,12.8
21/04/2017 11:15 (UTC),-69.38297271728516,171.989990234375,0.8518873172689566,12.19047619047619
21/04/2017 11:30 (UTC),-69.37987518310547,171.987060546875,0.91521365068574,11.636363636363637
21/04/2017 11:45 (UTC),-69.37687683105469,171.984130859375,0.7254129976387585,15.058823529411764
21/04/2017 12:00 (UTC),-69.37344360351562,171.97988891601562,0.7969943686445489,11.636363636363637
21/04/2017 12:15 (UTC),-69.36994171142578,171.97438049316406,0.8475470406634609,13.473684210526315
21/04/2017 12:30 (UTC),-69.36669921875,171.9696502685547,0.765213680717741,12.8
21/04/2017 12:45 (UTC),-69.36359405517578,171.9648895263672,1.0586104162952343,12.8
21/04/2017 13:00 (UTC),-69.36048889160156,171.95985412597656,0.9290253019921676,12.8
21/04/2017 13:15 (UTC),-69.35767364501953,171.95457458496094,0.850731435391044,12.19047619047619
21/04/2017 13:30 (UTC),-69.35501098632812,171.94891357421875,0.8969280998115383,14.222222222222221
21/04/2017 13:45 (UTC),-69.3525619506836,171.94358825683594,0.9737761457995073,14.222222222222221
21/04/2017 14:00 (UTC),-69.34996795654297,171.93768310546875,0.894087235642907,12.8
21/04/2017 14:15 (UTC),-69.34741973876953,171.931640625,0.7739974027880876,15.058823529411764
21/04/2017 14:30 (UTC),-69.34496307373047,171.9263916015625,0.6960459708825071,13.473684210526315
21/04/2017 14:45 (UTC),-69.34270477294922,171.9203643798828,0.7429885556763084,14.222222222222221
21/04/2017 15:00 (UTC),-69.34063720703125,171.9149169921875,0.9024588771549369,15.058823529411764
21/04/2017 15:15 (UTC),-69.33875274658203,171.91006469726562,1.0239140805952534,14.222222222222221
21/04/2017 15:30 (UTC),-69.33692932128906,171.90609741210938,1.4069143633290468,13.473684210526315
21/04/2017 16:00 (UTC),-69.33364868164062,171.89805603027344,0.8670686176364428,14.222222222222221
21/04/2017 16:15 (UTC),-69.33222198486328,171.89451599121094,0.7981679188802214,13.473684210526315
21/04/2017 16:30 (UTC),-69.33104705810547,171.89117431640625,1.1255007794859198,12.8
21/04/2017 16:45 (UTC),-69.33004760742188,171.88743591308594,0.9746301988964752,14.222222222222221
21/04/2017 17:00 (UTC),-69.32910919189453,171.88385009765625,0.9164976954059169,14.222222222222221
21/04/2017 17:15 (UTC),-69.32845306396484,171.8804168701172,0.7684998547238056,15.058823529411764
