DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
24/09/2012 2:00,-62.42007,121.52611,2.2514848433866925,13.473638825637641
24/09/2012 5:00,-62.41027,121.61181,2.4004799520095976,12.8
24/09/2012 8:00,-62.40441,121.64205,1.7812265437052077,11.6362959342782
24/09/2012 11:00,-62.4232,121.67845,1.1938040040140592,10.666666666666666
24/09/2012 14:00,-62.44038,121.74266,1.122319027727856,11.6362959342782
24/09/2012 17:00,-62.43302,121.80525,0.7302164062796727,10.893602187435318
24/09/2012 20:00,-62.42469,121.7995,0.6760473356208129,11.130403811050266
24/09/2012 23:00,-62.43967,121.78563,0.7324807164697239,10.448993239501375
25/09/2012 2:00,-62.46955,121.81158,0.7126738384422429,12.190513342516853
25/09/2012 5:00,-62.48275,121.87601,0.9769176014383198,11.907029910459135
25/09/2012 8:00,-62.46767,121.88647,1.1689106039385562,12.487824371238043
25/09/2012 11:00,-62.47551,121.82953,1.1488986030107269,11.377729232799718
25/09/2012 14:00,-62.51104,121.81431,1.0704092675234085,11.907029910459135
25/09/2012 17:00,-62.5318,121.85166,1.0000719974081866,12.190513342516853
25/09/2012 20:00,-62.53578,121.87533,1.0087457558770694,10.893602187435318
25/09/2012 23:00,-62.54632,121.8561,0.9110345767313116,12.190513342516853
26/09/2012 2:00,-62.58106,121.84397,0.7724351105432741,10.666666666666666
26/09/2012 5:00,-62.61564,121.86637,0.5535630045441982,11.6362959342782
26/09/2012 8:00,-62.63604,121.89742,0.4477141945482631,11.907029910459135
26/09/2012 11:00,-62.64918,121.89436,0.35086179615341423,11.377729232799718
26/09/2012 14:00,-62.67365,121.86021,0.2789408539457783,15.51518160520069
26/09/2012 17:00,-62.70829,121.85065,0.28993792439072197,14.628651677174915
26/09/2012 20:00,-62.7252,121.8669,0.22112439937736406,16.0
26/09/2012 23:00,-62.71602,121.86666,0.15393505123915086,17.066593849199577
27/09/2012 2:00,-62.70063,121.828,0.12276807402578245,14.628651677174915
27/09/2012 5:00,-62.69496,121.79877,0.07652450587883597,15.058880221666715
27/09/2012 8:00,-62.68776,121.81308,0.052763623833091675,18.28554710356934
27/09/2012 11:00,-62.67202,121.84845,0.048166378315169185,15.51518160520069
27/09/2012 14:00,-62.6539,121.86487,0.04578209256903839,15.51518160520069
27/09/2012 17:00,-62.64161,121.86483,0.0,24.380729471425788
27/09/2012 20:00,-62.64982,121.88538,0.0,18.28554710356934
27/09/2012 23:00,-62.6614,121.93808,0.10859097568398582,15.058880221666715
28/09/2012 2:00,-62.66987,121.97663,0.06462197768561405,15.51518160520069
28/09/2012 5:00,-62.68544,121.99186,0.058240879114244144,15.058880221666715
28/09/2012 8:00,-62.72698,122.00799,0.0413763217311544,15.058880221666715
28/09/2012 11:00,-62.77869,122.0049,0.040792156108742275,19.692404639530533
28/09/2012 14:00,-62.83617,122.0207,0.030199337741083,24.380729471425788
28/09/2012 17:00,-62.86322,122.12154,0.03622154055254967,24.380729471425788
28/09/2012 20:00,-62.86671,122.2211,0.035099857549568486,17.655055525149628
28/09/2012 23:00,-62.87016,122.29776,0.0413763217311544,17.066593849199577
29/09/2012 2:00,-62.88516,122.41753,0.0417612260356422,16.516094934513685
29/09/2012 5:00,-62.88359,122.5988,0.03939543120718442,24.380729471425788
29/09/2012 8:00,-62.84599,122.77125,0.038157568056677825,24.380729471425788
29/09/2012 11:00,-62.80944,122.87729,0.03440930106817051,19.692404639530533
29/09/2012 14:00,-62.79335,122.96342,0.03687817782917155,18.28554710356934
29/09/2012 17:00,-62.78718,123.06136,0.0425205832509386,18.28554710356934
29/09/2012 20:00,-62.76831,123.1856,0.034641016151377546,17.655055525149628
29/09/2012 23:00,-62.73454,123.27243,0.0417612260356422,15.51518160520069
30/09/2012 2:00,-62.71179,123.31963,0.06196773353931867,17.066593849199577
30/09/2012 5:00,-62.714,123.34374,0.09935793878699377,11.6362959342782
30/09/2012 8:00,-62.72063,123.38762,0.09024411338142782,16.0
30/09/2012 11:00,-62.71962,123.43005,0.0681175454637056,16.516094934513685
30/09/2012 14:00,-62.7026,123.42695,0.05571355310873648,15.51518160520069
30/09/2012 17:00,-62.68962,123.38154,0.03440930106817051,16.0
30/09/2012 20:00,-62.69006,123.37309,0.04454211490264018,24.380729471425788
30/09/2012 23:00,-62.68471,123.42447,0.06985699678629192,17.655055525149628
01/10/2012 2:00,-62.66602,123.47875,0.14372195378577346,14.628651677174915
01/10/2012 5:00,-62.66251,123.51535,0.31728851224083104,24.380729471425788
01/10/2012 8:00,-62.68749,123.54208,0.8224256805328978,19.692404639530533
01/10/2012 11:00,-62.71666,123.67311,1.9886035301185603,17.655055525149628
01/10/2012 14:00,-62.69769,123.80768,2.860455907718208,17.066593849199577
01/10/2012 17:00,-62.65288,123.81726,2.6311974460309893,14.628651677174915
01/10/2012 20:00,-62.62469,123.7708,2.643767009401547,15.51518160520069
01/10/2012 23:00,-62.62309,123.81546,1.4711791189382752,15.058880221666715
02/10/2012 2:00,-62.60656,123.95784,1.3185385849492612,15.51518160520069
02/10/2012 5:00,-62.56175,124.07263,0.7564443138790853,14.222323358743884
02/10/2012 8:00,-62.51367,124.08261,0.29399319720020733,15.058880221666715
02/10/2012 11:00,-62.49503,124.08165,0.2564683216305671,15.058880221666715
02/10/2012 14:00,-62.49446,124.14771,0.22676860452893385,15.058880221666715
02/10/2012 17:00,-62.46161,124.23996,0.1482700239428051,17.655055525149628
02/10/2012 23:00,-62.39598,124.18295,0.47821334151192396,13.837766031051947
03/10/2012 2:00,-62.41852,124.16087,0.4814145822469444,12.8
03/10/2012 5:00,-62.40977,124.1917,0.2874160747070351,13.837766031051947
03/10/2012 8:00,-62.35925,124.17155,0.1292439553712281,16.0
03/10/2012 11:00,-62.31578,124.09527,0.03394112549695428,18.28554710356934
03/10/2012 14:00,-62.30012,124.06374,0.1359411637437314,24.380729471425788
03/10/2012 17:00,-62.28228,124.10812,0.10844353369380767,24.380729471425788
03/10/2012 20:00,-62.23874,124.16817,0.12705904139414873,24.380729471425788
03/10/2012 23:00,-62.19552,124.19033,0.10071742649611337,24.380729471425788
