DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
09/12/2019 21:10 (UTC),-64.64205169677734,120.5064697265625,,
09/12/2019 22:10 (UTC),-64.64410400390625,120.50880432128906,,
09/12/2019 23:10 (UTC),-64.64530944824219,120.51163482666016,,
10/12/2019 00:10 (UTC),-64.64530944824219,120.51163482666016,,
10/12/2019 01:10 (UTC),-64.64474487304688,120.51813507080078,0.6888253586532942,10.24
10/12/2019 02:10 (UTC),-64.64148712158203,120.51812744140625,0.8237227575450299,10.666666666666666
10/12/2019 03:10 (UTC),-64.6379623413086,120.51571655273438,0.671560360217792,11.130434782608695
10/12/2019 04:10 (UTC),-64.6379623413086,120.51571655273438,0.7852815930337225,10.666666666666666
10/12/2019 05:10 (UTC),-64.6379623413086,120.51571655273438,0.7473405815718872,10.666666666666666
10/12/2019 06:10 (UTC),-64.6379623413086,120.51571655273438,0.578717274702087,10.666666666666666
10/12/2019 07:10 (UTC),-64.6379623413086,120.51571655273438,0.7122770649280785,11.130434782608695
10/12/2019 09:10 (UTC),-64.62714385986328,120.45555877685547,0.6095411240629707,10.666666666666666
10/12/2019 10:10 (UTC),-64.62714385986328,120.45555877685547,0.5822414113180429,9.481481481481481
10/12/2019 11:10 (UTC),-64.63308715820312,120.44828033447266,0.6053340457001193,10.666666666666666
10/12/2019 12:10 (UTC),-64.63308715820312,120.44828033447266,0.47711044173890926,11.130434782608695
10/12/2019 13:10 (UTC),-64.63308715820312,120.44828033447266,0.44209261125597216,9.846153846153847
10/12/2019 14:10 (UTC),-64.63308715820312,120.44828033447266,0.4791390755513642,9.481481481481481
10/12/2019 16:10 (UTC),-64.63308715820312,120.44828033447266,0.48267192359399674,9.846153846153847
10/12/2019 17:10 (UTC),-64.63308715820312,120.44828033447266,0.38349674019417385,11.130434782608695
10/12/2019 18:10 (UTC),-64.63308715820312,120.44828033447266,0.4501176241736791,10.24
10/12/2019 19:10 (UTC),-64.61750030517578,120.45032501220703,0.44434340874099126,9.846153846153847
10/12/2019 19:30 (UTC),-64.61750030517578,120.45032501220703,0.35261398816427825,9.481481481481481
10/12/2019 19:50 (UTC),-64.6174545288086,120.43849182128906,0.3999734360322359,11.130434782608695
10/12/2019 20:10 (UTC),-64.6175765991211,120.43627166748047,0.3529325342634793,10.24
10/12/2019 20:30 (UTC),-64.6175765991211,120.43627166748047,0.3146899253115355,11.636363636363637
10/12/2019 20:50 (UTC),-64.61846923828125,120.43408966064453,0.42077302180609927,9.846153846153847
10/12/2019 21:10 (UTC),-64.61894226074219,120.43303680419922,0.3179218654547867,10.24
10/12/2019 21:30 (UTC),-64.61951446533203,120.43215942382812,0.41095065026227334,10.24
10/12/2019 21:50 (UTC),-64.61951446533203,120.43215942382812,0.34690101104525267,10.24
10/12/2019 22:10 (UTC),-64.62074279785156,120.4298095703125,0.35772964380057304,9.846153846153847
10/12/2019 22:30 (UTC),-64.62074279785156,120.4298095703125,0.3491259607433741,11.130434782608695
10/12/2019 22:50 (UTC),-64.62074279785156,120.4298095703125,0.3261335985518894,10.666666666666666
10/12/2019 23:10 (UTC),-64.62074279785156,120.4298095703125,0.4025885781927885,10.24
10/12/2019 23:30 (UTC),-64.62074279785156,120.4298095703125,0.42692958947827053,10.24
10/12/2019 23:50 (UTC),-64.62487030029297,120.42922973632812,0.38353487282879684,10.666666666666666
11/12/2019 00:10 (UTC),-64.62562561035156,120.43016052246094,0.3493300722986408,11.130434782608695
11/12/2019 00:30 (UTC),-64.62631225585938,120.43153381347656,0.3939765217361073,11.130434782608695
11/12/2019 00:50 (UTC),-64.62631225585938,120.43153381347656,0.43975476202676483,10.24
11/12/2019 01:10 (UTC),-64.62631225585938,120.43153381347656,0.4135175322974486,11.130434782608695
11/12/2019 01:30 (UTC),-64.62855529785156,120.43460083007812,0.4133022515703842,10.666666666666666
11/12/2019 01:50 (UTC),-64.62914276123047,120.43575286865234,0.37403601415887894,11.130434782608695
11/12/2019 02:10 (UTC),-64.62960815429688,120.4372787475586,0.3731152632844302,10.24
11/12/2019 02:30 (UTC),-64.6297378540039,120.4391860961914,0.3233088694915687,13.473684210526315
11/12/2019 02:50 (UTC),-64.6297378540039,120.4391860961914,0.3742879907139019,13.473684210526315
11/12/2019 03:10 (UTC),-64.6297378540039,120.4391860961914,0.3904505423357065,11.130434782608695
11/12/2019 03:30 (UTC),-64.6297378540039,120.4391860961914,0.321905944814664,11.130434782608695
11/12/2019 03:50 (UTC),-64.62755584716797,120.44757843017578,0.44067895204407503,10.666666666666666
11/12/2019 04:10 (UTC),-64.6265869140625,120.44853210449219,0.3950549024870962,10.666666666666666
11/12/2019 04:30 (UTC),-64.62548065185547,120.44881439208984,0.33085599298901586,10.24
11/12/2019 04:50 (UTC),-64.62442016601562,120.44900512695312,0.3462963846281623,12.19047619047619
11/12/2019 05:10 (UTC),-64.62332153320312,120.44987487792969,0.38803825435166717,12.19047619047619
11/12/2019 05:30 (UTC),-64.62185668945312,120.44808959960938,0.33527908230848,13.473684210526315
11/12/2019 05:50 (UTC),-64.62055206298828,120.44644927978516,0.3416954954794162,10.666666666666666
11/12/2019 06:10 (UTC),-64.61917877197266,120.44376373291016,0.35808370218908503,11.130434782608695
11/12/2019 06:30 (UTC),-64.61917877197266,120.44376373291016,0.36823226733925163,12.19047619047619
11/12/2019 06:50 (UTC),-64.61917877197266,120.44376373291016,0.39573918154601934,11.636363636363637
11/12/2019 07:10 (UTC),-64.61707305908203,120.43335723876953,0.40682651517433993,10.24
11/12/2019 07:30 (UTC),-64.61686706542969,120.42922973632812,0.4216644092878125,11.130434782608695
11/12/2019 07:50 (UTC),-64.61662292480469,120.42491912841797,0.4245151655864415,12.19047619047619
11/12/2019 08:10 (UTC),-64.61709594726562,120.42111206054688,0.376314112586034,11.636363636363637
11/12/2019 08:30 (UTC),-64.61709594726562,120.42111206054688,0.38910851721004225,11.636363636363637
11/12/2019 08:50 (UTC),-64.61709594726562,120.42111206054688,0.46540029605529926,11.130434782608695
11/12/2019 09:10 (UTC),-64.61709594726562,120.42111206054688,0.47252142696351884,11.130434782608695
11/12/2019 09:30 (UTC),-64.61709594726562,120.42111206054688,0.569470861544835,10.666666666666666
11/12/2019 09:50 (UTC),-64.61709594726562,120.42111206054688,0.5080582507581216,11.636363636363637
11/12/2019 10:10 (UTC),-64.6219482421875,120.40255737304688,0.475044738130296,11.130434782608695
11/12/2019 10:30 (UTC),-64.6219482421875,120.40255737304688,0.41864356839123074,11.636363636363637
11/12/2019 10:50 (UTC),-64.6219482421875,120.40255737304688,0.4491993563016437,11.636363636363637
11/12/2019 11:10 (UTC),-64.6219482421875,120.40255737304688,0.5284879995643921,12.19047619047619
11/12/2019 11:30 (UTC),-64.6219482421875,120.40255737304688,0.48200803956427307,11.636363636363637
11/12/2019 11:50 (UTC),-64.62705993652344,120.39793395996094,0.6586061971379764,12.19047619047619
11/12/2019 12:10 (UTC),-64.62705993652344,120.39793395996094,0.4536456497704827,10.24
11/12/2019 12:30 (UTC),-64.62982940673828,120.39556884765625,0.5010625628906432,9.846153846153847
11/12/2019 12:50 (UTC),-64.62982940673828,120.39556884765625,0.5078872270582634,10.666666666666666
11/12/2019 13:10 (UTC),-64.62982940673828,120.39556884765625,0.5053666979146498,10.666666666666666
11/12/2019 13:30 (UTC),-64.62982940673828,120.39556884765625,0.5840363348255159,10.666666666666666
11/12/2019 13:50 (UTC),-64.63239288330078,120.39398193359375,0.5945352699821982,11.130434782608695
11/12/2019 14:10 (UTC),-64.63239288330078,120.39398193359375,0.6454436428240407,10.24
11/12/2019 14:30 (UTC),-64.63243103027344,120.39494323730469,0.518761027055089,10.666666666666666
11/12/2019 14:50 (UTC),-64.63243103027344,120.39494323730469,0.5355497142799689,9.846153846153847
11/12/2019 15:10 (UTC),-64.63243103027344,120.39494323730469,0.5881035215613194,11.130434782608695
11/12/2019 15:30 (UTC),-64.63243103027344,120.39494323730469,0.4446946284795174,13.473684210526315
11/12/2019 15:50 (UTC),-64.63243103027344,120.39494323730469,0.5081735059489751,9.481481481481481
11/12/2019 16:10 (UTC),-64.63243103027344,120.39494323730469,0.4289202285427488,10.24
11/12/2019 16:30 (UTC),-64.63243103027344,120.39494323730469,0.4967679293511549,9.846153846153847
11/12/2019 16:50 (UTC),-64.63243103027344,120.39494323730469,0.5576368099219985,10.666666666666666
11/12/2019 17:10 (UTC),-64.63243103027344,120.39494323730469,0.371939512337637,10.666666666666666
11/12/2019 17:30 (UTC),-64.63243103027344,120.39494323730469,0.5406181074847681,11.636363636363637
11/12/2019 17:50 (UTC),-64.63243103027344,120.39494323730469,0.37833946243056915,10.24
11/12/2019 18:10 (UTC),-64.63243103027344,120.39494323730469,0.5112281166987671,10.666666666666666
11/12/2019 18:30 (UTC),-64.63243103027344,120.39494323730469,0.41148200135308677,9.481481481481481
11/12/2019 18:50 (UTC),-64.63243103027344,120.39494323730469,0.5062434542806941,9.846153846153847
11/12/2019 19:10 (UTC),-64.62871551513672,120.34022521972656,0.6128361254402015,9.846153846153847
11/12/2019 19:30 (UTC),-64.62984466552734,120.33506774902344,0.5746774044869889,11.130434782608695
11/12/2019 19:50 (UTC),-64.63088989257812,120.33067321777344,0.4485225081017918,10.24
11/12/2019 20:10 (UTC),-64.63129425048828,120.32572174072266,0.5013845818169532,10.666666666666666
11/12/2019 20:30 (UTC),-64.63221740722656,120.3224105834961,0.41979623101506297,11.130434782608695
11/12/2019 20:50 (UTC),-64.63330078125,120.3191909790039,0.42923755014305953,9.846153846153847
11/12/2019 21:10 (UTC),-64.63330078125,120.3191909790039,0.41936477199731986,9.481481481481481
11/12/2019 21:30 (UTC),-64.63330078125,120.3191909790039,0.4118336294459337,10.24
11/12/2019 21:50 (UTC),-64.63330078125,120.3191909790039,0.3801856447754753,10.24
11/12/2019 22:10 (UTC),-64.63330078125,120.3191909790039,0.44246991345513037,10.24
11/12/2019 22:30 (UTC),-64.63887786865234,120.30431365966797,0.3948418977366781,11.636363636363637
11/12/2019 22:50 (UTC),-64.6402816772461,120.3012466430664,0.49945751623099005,11.130434782608695
11/12/2019 23:10 (UTC),-64.6402816772461,120.3012466430664,0.4690560322205874,10.24
11/12/2019 23:30 (UTC),-64.6402816772461,120.3012466430664,0.36092216732614535,11.130434782608695
11/12/2019 23:50 (UTC),-64.64486694335938,120.2895278930664,0.40077604230470293,11.130434782608695
12/12/2019 00:10 (UTC),-64.64486694335938,120.2895278930664,0.4034042639057395,10.24
12/12/2019 00:30 (UTC),-64.64486694335938,120.2895278930664,0.32982230260321105,9.846153846153847
12/12/2019 00:50 (UTC),-64.64999389648438,120.27886199951172,0.36807370239487286,11.636363636363637
12/12/2019 01:10 (UTC),-64.65154266357422,120.27515411376953,0.4187061905484098,9.846153846153847
12/12/2019 01:30 (UTC),-64.65302276611328,120.27088928222656,0.27008308858122293,12.8
12/12/2019 01:50 (UTC),-64.65302276611328,120.27088928222656,0.33387563078317717,10.666666666666666
12/12/2019 02:10 (UTC),-64.65302276611328,120.27088928222656,0.37477401240282887,9.846153846153847
12/12/2019 02:30 (UTC),-64.65302276611328,120.27088928222656,0.2969177065271782,10.24
12/12/2019 02:50 (UTC),-64.65302276611328,120.27088928222656,0.3413426630830169,11.636363636363637
12/12/2019 03:10 (UTC),-64.66231536865234,120.24755859375,0.2926744149397224,10.666666666666666
12/12/2019 03:30 (UTC),-64.66461944580078,120.24309539794922,0.31425865167501527,9.846153846153847
12/12/2019 03:50 (UTC),-64.66683197021484,120.23918151855469,0.23529436367827086,10.24
12/12/2019 04:10 (UTC),-64.66683197021484,120.23918151855469,0.2540647064975114,9.846153846153847
12/12/2019 04:30 (UTC),-64.66683197021484,120.23918151855469,0.28840444468291015,10.666666666666666
12/12/2019 04:50 (UTC),-64.66683197021484,120.23918151855469,0.2152829548301394,11.130434782608695
12/12/2019 05:10 (UTC),-64.66683197021484,120.23918151855469,0.2503346505508997,9.142857142857142
12/12/2019 05:30 (UTC),-64.66683197021484,120.23918151855469,0.24728462870712473,10.24
12/12/2019 05:50 (UTC),-64.66683197021484,120.23918151855469,0.24484076510182542,9.846153846153847
12/12/2019 06:10 (UTC),-64.66683197021484,120.23918151855469,0.23207245588036796,9.481481481481481
12/12/2019 06:30 (UTC),-64.66683197021484,120.23918151855469,0.25511345619229725,10.666666666666666
12/12/2019 06:50 (UTC),-64.66683197021484,120.23918151855469,0.25820062267930477,9.846153846153847
12/12/2019 07:10 (UTC),-64.68753051757812,120.20872497558594,0.23204148244816875,9.481481481481481
12/12/2019 07:30 (UTC),-64.68917083740234,120.20500946044922,0.2492378379552936,9.481481481481481
12/12/2019 07:50 (UTC),-64.69015502929688,120.20103454589844,0.2050295705894407,9.142857142857142
12/12/2019 08:10 (UTC),-64.69015502929688,120.20103454589844,0.22030887449649353,10.24
12/12/2019 08:30 (UTC),-64.69015502929688,120.20103454589844,0.2349587731671368,9.846153846153847
12/12/2019 08:50 (UTC),-64.69276428222656,120.186767578125,0.179731744086357,10.24
12/12/2019 09:10 (UTC),-64.69276428222656,120.186767578125,0.24595718621340698,9.481481481481481
12/12/2019 09:30 (UTC),-64.69276428222656,120.186767578125,0.2077217186978614,9.481481481481481
