DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
03/06/2017 13:00 (UTC),-67.15567016601562,-175.88583374023438,0.5123748649788702,16.0
03/06/2017 13:15 (UTC),-67.15715789794922,-175.88058471679688,0.6108878747244094,15.058823529411764
03/06/2017 13:30 (UTC),-67.15857696533203,-175.87539672851562,0.6557560605893624,16.0
03/06/2017 13:45 (UTC),-67.15995788574219,-175.87010192871094,0.9149076353158335,15.058823529411764
03/06/2017 14:00 (UTC),-67.16140747070312,-175.86398315429688,0.6935358601933722,15.058823529411764
03/06/2017 14:15 (UTC),-67.16300201416016,-175.858642578125,0.5252504126208072,16.0
03/06/2017 14:30 (UTC),-67.1649398803711,-175.85324096679688,0.670140289201959,12.8
03/06/2017 14:45 (UTC),-67.1667709350586,-175.84786987304688,0.7434514175658078,16.0
03/06/2017 15:00 (UTC),-67.1689453125,-175.8426971435547,0.6802705259258074,16.0
03/06/2017 15:15 (UTC),-67.17082977294922,-175.83758544921875,0.6814220482443174,15.058823529411764
03/06/2017 15:30 (UTC),-67.17288970947266,-175.8324432373047,0.6375201979410705,12.8
03/06/2017 15:45 (UTC),-67.1748046875,-175.8280029296875,0.6076314632022592,14.222222222222221
03/06/2017 16:00 (UTC),-67.17667388916016,-175.82369995117188,0.8822788549856925,15.058823529411764
03/06/2017 16:15 (UTC),-67.17867279052734,-175.81951904296875,0.7950446481583,15.058823529411764
03/06/2017 16:30 (UTC),-67.18059539794922,-175.81590270996094,0.6934666510321531,16.0
03/06/2017 16:45 (UTC),-67.18236541748047,-175.8127899169922,0.8118127704173214,14.222222222222221
03/06/2017 17:15 (UTC),-67.18580627441406,-175.80714416503906,0.667748465103162,15.058823529411764
03/06/2017 17:30 (UTC),-67.18749237060547,-175.80470275878906,0.5970728651097632,16.0
03/06/2017 17:45 (UTC),-67.18915557861328,-175.80274963378906,0.7404106956789298,16.0
03/06/2017 18:00 (UTC),-67.19087219238281,-175.80113220214844,0.47225416436184336,13.473684210526315
03/06/2017 18:15 (UTC),-67.19277954101562,-175.79965209960938,0.582930516625382,15.058823529411764
03/06/2017 18:30 (UTC),-67.19525146484375,-175.79869079589844,0.6060231039833128,15.058823529411764
03/06/2017 18:45 (UTC),-67.19772338867188,-175.79742431640625,0.7477111860001011,16.0
03/06/2017 19:00 (UTC),-67.2004623413086,-175.79653930664062,0.6087626779790962,14.222222222222221
03/06/2017 19:15 (UTC),-67.20319366455078,-175.79588317871094,0.5660247307065374,14.222222222222221
03/06/2017 19:30 (UTC),-67.20622253417969,-175.7952423095703,0.5605996668608781,15.058823529411764
03/06/2017 19:45 (UTC),-67.20942687988281,-175.7949981689453,0.6102327521081222,15.058823529411764
03/06/2017 20:00 (UTC),-67.2131118774414,-175.79312133789062,0.48857342942803333,16.0
03/06/2017 20:15 (UTC),-67.21503448486328,-175.7938690185547,0.659357253283283,16.0
03/06/2017 20:30 (UTC),-67.21821594238281,-175.7931365966797,0.32899848161291934,17.066666666666666
03/06/2017 20:45 (UTC),-67.22164154052734,-175.79248046875,0.33418557871403054,16.0
03/06/2017 21:00 (UTC),-67.22502136230469,-175.7912139892578,0.39409643706226233,15.058823529411764
03/06/2017 21:15 (UTC),-67.22837829589844,-175.789794921875,0.33214454961746914,16.0
03/06/2017 21:30 (UTC),-67.23168182373047,-175.78807067871094,0.35617973153297144,15.058823529411764
03/06/2017 21:45 (UTC),-67.23506164550781,-175.78562927246094,0.32650881056705716,15.058823529411764
03/06/2017 22:00 (UTC),-67.23800659179688,-175.77850341796875,0.317742035855266,15.058823529411764
03/06/2017 22:15 (UTC),-67.24018859863281,-175.7694549560547,0.33262591123760743,14.222222222222221
03/06/2017 22:30 (UTC),-67.24214172363281,-175.75962829589844,0.2868588450917454,15.058823529411764
03/06/2017 22:45 (UTC),-67.2440185546875,-175.74838256835938,0.3082077171070608,15.058823529411764
03/06/2017 23:00 (UTC),-67.24559783935547,-175.73716735839844,0.31526496294467,16.0
03/06/2017 23:15 (UTC),-67.24708557128906,-175.72596740722656,0.21585180303137785,14.222222222222221
03/06/2017 23:30 (UTC),-67.24829864501953,-175.7140655517578,0.254684122332309,14.222222222222221
03/06/2017 23:45 (UTC),-67.24919891357422,-175.70257568359375,0.29570255153504654,16.0
04/06/2017 00:00 (UTC),-67.24995422363281,-175.6901397705078,0.29426519281613545,15.058823529411764
04/06/2017 00:15 (UTC),-67.25051879882812,-175.6776885986328,0.2760289822069275,15.058823529411764
04/06/2017 00:30 (UTC),-67.25094604492188,-175.66610717773438,0.21218859561305842,16.0
04/06/2017 00:45 (UTC),-67.25119018554688,-175.65521240234375,0.271027667981315,15.058823529411764
04/06/2017 01:00 (UTC),-67.25150299072266,-175.6437530517578,0.251173246626127,15.058823529411764
04/06/2017 01:15 (UTC),-67.25179290771484,-175.6318359375,0.1719069505384963,14.222222222222221
04/06/2017 01:30 (UTC),-67.25201416015625,-175.6207733154297,0.18286607478949723,16.0
04/06/2017 01:45 (UTC),-67.25204467773438,-175.61004638671875,0.14934523873546002,16.0
04/06/2017 02:00 (UTC),-67.25184631347656,-175.59933471679688,0.15414279173475157,15.058823529411764
04/06/2017 02:15 (UTC),-67.2514877319336,-175.5884552001953,0.14691494286985163,16.0
