DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
03/06/2017 13:00 (UTC),-67.0204086303711,-175.986328125,0.6675207855617321,14.222222222222221
03/06/2017 13:15 (UTC),-67.02169799804688,-175.98440551757812,0.7554495239967293,13.473684210526315
03/06/2017 13:30 (UTC),-67.0230484008789,-175.98216247558594,0.7488871901832782,14.222222222222221
03/06/2017 13:45 (UTC),-67.02433013916016,-175.97938537597656,0.8134273225643691,14.222222222222221
03/06/2017 14:00 (UTC),-67.02569580078125,-175.9766082763672,0.8547093055635387,14.222222222222221
03/06/2017 14:15 (UTC),-67.02728271484375,-175.97323608398438,0.9686774565084189,13.473684210526315
03/06/2017 14:30 (UTC),-67.02870178222656,-175.96914672851562,0.8156862140937966,13.473684210526315
03/06/2017 14:45 (UTC),-67.03064727783203,-175.96592712402344,0.9119561534325753,16.0
03/06/2017 15:00 (UTC),-67.03227233886719,-175.9625701904297,0.8962142637143115,14.222222222222221
03/06/2017 15:15 (UTC),-67.03385162353516,-175.9589385986328,0.7506264216324607,14.222222222222221
03/06/2017 15:30 (UTC),-67.03544616699219,-175.9555206298828,0.7776888747343761,16.0
03/06/2017 16:00 (UTC),-67.03797912597656,-175.94956970214844,0.6802940512290395,13.473684210526315
03/06/2017 16:15 (UTC),-67.03926086425781,-175.9470672607422,0.8811719386380363,14.222222222222221
03/06/2017 16:30 (UTC),-67.04061126708984,-175.94508361816406,0.8413322919185721,13.473684210526315
03/06/2017 16:45 (UTC),-67.04193115234375,-175.9436798095703,1.1022885141788425,16.0
03/06/2017 17:00 (UTC),-67.04299926757812,-175.94276428222656,1.1221122767052292,16.0
03/06/2017 17:15 (UTC),-67.04425048828125,-175.9419403076172,0.7570997209162734,12.19047619047619
03/06/2017 17:30 (UTC),-67.04547119140625,-175.94131469726562,0.7735424933791698,14.222222222222221
03/06/2017 17:45 (UTC),-67.0464859008789,-175.941162109375,0.9823156341077506,15.058823529411764
03/06/2017 18:00 (UTC),-67.0481185913086,-175.9412078857422,0.7842040479778836,16.0
03/06/2017 18:15 (UTC),-67.050048828125,-175.9411163330078,0.7080113062279101,14.222222222222221
03/06/2017 18:30 (UTC),-67.05219268798828,-175.94119262695312,0.793957174102276,13.473684210526315
03/06/2017 18:45 (UTC),-67.05451965332031,-175.94097900390625,0.6018903507719165,16.0
03/06/2017 19:00 (UTC),-67.05699920654297,-175.94090270996094,0.6136057292953003,17.066666666666666
03/06/2017 19:15 (UTC),-67.05928802490234,-175.94081115722656,0.5348644714175068,14.222222222222221
03/06/2017 19:30 (UTC),-67.06175231933594,-175.9408721923828,0.5953016084891193,15.058823529411764
03/06/2017 19:45 (UTC),-67.06444549560547,-175.94100952148438,0.591202163253112,17.066666666666666
