time,lat,lon,moments,bin,psd
3,-61.29864,121.27123,"[14.770535, 1.175162, 0.098751, 0.008602, 0.000771, 7.1e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.014985, 0.095198, 0.094694, 0.299702, 0.225204, 0.353255, 0.103638, 0.764663, 0.886556, 0.996043, 0.941746, 2.661889, 1.610543, 0.435799, 2.163246, 1.682524, 1.518373, 0.85388, 1.273789, 3.764248, 2.759765, 7.244476, 3.198398, 3.350486, 1.818389, 2.403115, 1.524602, 1.392179, 0.803759, 1.225565, 0.659516, 0.30925, 0.222907, 0.365125, 0.785557, 0.278023, 0.291693, 0.048033, 0.035592, 0.111335, 0.045663, 0.012133, 0.00871, 0.004273, 0.003067, 0.002215, 0.001423, 0.000852, 0.002427, 0.001085, 0.000189, 3.5e-05, 1.2e-05, 8e-06, 7e-06]"
6,-61.5362,120.87742,"[14.13667, 1.206485, 0.107457, 0.009881, 0.000935, 9.1e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.0078, 0.078326, 0.05869, 0.105366, 0.0899, 0.148734, 0.416864, 0.341258, 0.650286, 0.619837, 0.693763, 1.954408, 0.402431, 0.718838, 1.455118, 0.915173, 0.926437, 1.004974, 3.193038, 4.630591, 5.107202, 3.632079, 4.373088, 5.369739, 3.847191, 0.828254, 1.074652, 1.493822, 1.47315, 0.389124, 0.887207, 0.664016, 0.950396, 0.763914, 0.294573, 0.607788, 1.483707, 1.074531, 0.207611, 0.228407, 0.338789, 0.065709, 0.040862, 0.006101, 0.002953, 0.001646, 0.000288, 0.000129, 0.000175, 7.4e-05, 2e-05, 2.1e-05, 6e-06, 7e-06, 4e-06]"
9,-61.2586,121.41254,"[59.669849, 4.852649, 0.440345, 0.042368, 0.004249, 0.000442]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.07137, 0.068442, 0.248803, 0.1789, 0.32449, 1.136095, 0.829952, 1.220192, 2.317503, 1.532058, 2.048701, 1.709084, 2.042713, 1.545015, 2.979053, 4.161029, 0.656083, 8.625069, 4.312262, 2.979287, 5.581992, 28.379864, 43.960655, 7.473403, 12.874383, 5.751035, 4.604055, 7.679071, 11.002142, 5.785, 9.261912, 1.897571, 2.122308, 3.943276, 1.353135, 3.089051, 2.531585, 2.694059, 2.780431, 2.21575, 1.655451, 1.22345, 0.850167, 0.453341, 0.591702, 0.181443, 0.11494, 0.0577, 0.019545, 0.009221, 0.003925, 0.000662, 0.000216, 0.00012, 6.6e-05]"
12,-61.40817,121.1572,"[14.777203, 0.759668, 0.046985, 0.003281, 0.000246, 1.9e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.161416, 0.051092, 0.212016, 0.129424, 0.187347, 0.289677, 0.589137, 0.584507, 1.696629, 0.907698, 0.970691, 0.735561, 0.38074, 1.314887, 1.787238, 0.655888, 2.046729, 1.740216, 0.493916, 1.713846, 1.262882, 1.15124, 0.45287, 0.508075, 0.152111, 0.041551, 0.06329, 0.012228, 0.014053, 0.006405, 0.005776, 0.002174, 0.001515, 0.001623, 0.001252, 0.000998, 0.001035, 0.000806, 0.000836, 0.000643, 0.000516, 0.000448, 0.000289, 0.000165, 0.000108, 0.000137, 8.8e-05, 5.6e-05, 2.4e-05, 7e-06, 3e-06, 3e-06, 5e-06, 7e-06, 9e-06]"
15,-61.41227,121.13549,"[3.164014, 0.212908, 0.014659, 0.001029, 7.4e-05, 5e-06]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.003554, 0.068629, 0.100599, 0.199752, 0.090656, 0.254098, 0.453562, 0.634634, 0.169766, 0.752425, 0.999869, 0.510654, 0.304635, 0.840344, 0.448956, 0.495544, 0.199963, 0.119208, 0.370163, 0.1557, 0.121091, 0.040202, 0.047531, 0.021687, 0.007156, 0.011194, 0.004849, 0.001327, 0.001076, 0.001703, 0.000687, 0.000772, 0.00055, 0.000345, 0.000188, 0.000262, 5.2e-05, 0.000128, 0.000177, 0.000227, 8.7e-05, 0.000132, 0.000235, 0.000162, 9.5e-05, 6.4e-05, 9.5e-05, 5e-05, 3.2e-05, 3.5e-05, 3e-05, 1.9e-05, 2.7e-05, 8e-06, 8e-06]"
18,-61.45144,121.06836,"[4.002129, 0.281908, 0.020241, 0.001476, 0.000109, 8e-06]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.005476, 0.013784, 0.059654, 0.064425, 0.186862, 0.126425, 0.139396, 0.405688, 0.455633, 0.600712, 0.810488, 1.273791, 2.06473, 0.968446, 0.601874, 0.255867, 0.39975, 0.536814, 0.445896, 0.272599, 0.129219, 0.080544, 0.136332, 0.06553, 0.081668, 0.063853, 0.015103, 0.002432, 0.004929, 0.0035, 0.001117, 0.000846, 0.000707, 0.000133, 0.000951, 0.000194, 6.4e-05, 0.000116, 0.00027, 0.000217, 8.4e-05, 6.6e-05, 7.3e-05, 0.000125, 8.1e-05, 8.1e-05, 7.2e-05, 3e-05, 2.3e-05, 1.5e-05, 1.2e-05, 1.9e-05, 1e-05, 7e-06, 1e-05]"
21,-61.53974,120.99808,"[82.283432, 7.495813, 0.703239, 0.067296, 0.006548, 0.000647]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.025204, 0.067533, 0.094074, 0.094871, 0.141267, 0.298011, 0.365603, 0.420341, 0.987626, 0.66613, 2.331771, 2.78374, 1.261526, 3.636733, 3.951551, 7.968665, 7.305218, 12.123219, 11.64669, 16.272434, 41.855694, 13.883619, 15.362216, 28.917534, 36.260868, 12.366198, 21.717928, 11.242553, 14.149848, 19.260374, 9.864307, 25.304844, 7.296199, 7.851853, 6.770833, 1.815668, 2.515251, 3.175089, 3.351704, 1.870016, 0.389132, 0.094475, 0.022561, 0.005311, 0.001369, 0.000299, 0.0003, 0.000173, 0.000283, 0.000803, 0.000519, 0.000327, 0.000248, 0.000105, 0.000144]"
24,-61.61431,121.08971,"[147.571045, 12.962844, 1.182757, 0.110687, 0.010591, 0.001037]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.065856, 0.043648, 0.077614, 0.029764, 0.079062, 0.146801, 0.259026, 1.461584, 1.530135, 3.66736, 3.537859, 0.961483, 10.072174, 9.342804, 7.67459, 12.651835, 8.323888, 35.33979, 22.054995, 75.294014, 17.485365, 81.532684, 45.752171, 50.984356, 13.497747, 29.094021, 38.420002, 10.36746, 18.422455, 7.184367, 17.86482, 14.721386, 13.080042, 7.130339, 2.544213, 5.292734, 9.586273, 3.294959, 2.020097, 2.368558, 3.523686, 0.99373, 0.451797, 0.227914, 0.155799, 0.109174, 0.019717, 0.014961, 0.012466, 0.007278, 0.003247, 0.002209, 0.001335, 0.001249, 0.000699]"
27,-61.63532,121.24214,"[315.833099, 26.306026, 2.267451, 0.200557, 0.01818, 0.001691]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.144701, 0.129188, 0.108065, 0.451822, 0.481731, 0.748321, 1.407895, 2.155174, 12.568857, 5.756266, 7.652255, 31.250666, 23.95829, 38.032143, 54.582233, 70.129669, 151.646652, 70.07328, 62.311604, 22.172098, 17.932388, 151.006714, 67.12896, 88.901337, 43.846573, 35.65258, 32.622677, 17.814871, 14.529195, 38.82428, 5.282719, 13.983885, 7.155809, 9.360628, 3.481593, 7.669929, 6.42593, 3.768397, 5.3584, 4.948493, 3.683549, 1.504997, 0.40557, 0.46414, 0.328327, 0.118032, 0.075778, 0.055723, 0.027632, 0.01365, 0.003833, 0.003576, 0.001258, 0.001691, 0.001023]"
30,-61.63308,121.33018,"[422.126312, 32.221394, 2.578136, 0.214826, 0.018654, 0.001693]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.220865, 0.381451, 0.56908, 2.001377, 1.74764, 5.093484, 8.460484, 18.255682, 88.424919, 89.739159, 26.40114, 37.856819, 88.015305, 89.643379, 88.00808, 103.99379, 83.421303, 64.999794, 42.036545, 42.435108, 33.745445, 71.197273, 27.64052, 62.221035, 5.893083, 8.144104, 14.656628, 7.232446, 18.655973, 26.39539, 12.392873, 23.775009, 21.838745, 4.956514, 9.930928, 8.530573, 7.953243, 26.051834, 4.767, 5.470114, 4.496587, 1.5046, 0.919048, 0.365977, 0.146521, 0.109029, 0.106372, 0.026663, 0.012579, 0.004708, 0.002985, 0.002238, 0.001305, 0.000945, 0.000964]"
