DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
03/06/2017 13:15 (UTC),-67.34957122802734,-175.7247314453125,0.4690756937874222,16.0
03/06/2017 13:30 (UTC),-67.35050201416016,-175.71800231933594,0.4195998087864832,14.222222222222221
03/06/2017 13:45 (UTC),-67.35137176513672,-175.71121215820312,0.532150347090958,13.473684210526315
03/06/2017 14:00 (UTC),-67.35225677490234,-175.7040252685547,0.40249223654231786,17.066666666666666
03/06/2017 14:15 (UTC),-67.35292053222656,-175.6962432861328,0.3654914400087234,15.058823529411764
03/06/2017 14:30 (UTC),-67.3535385131836,-175.68885803222656,0.38682296581720843,16.0
03/06/2017 14:45 (UTC),-67.35415649414062,-175.68199157714844,0.4132989284722084,16.0
03/06/2017 15:00 (UTC),-67.35462951660156,-175.6754913330078,0.3716342202629671,15.058823529411764
03/06/2017 15:15 (UTC),-67.35520935058594,-175.66917419433594,0.44477410144055807,15.058823529411764
03/06/2017 15:30 (UTC),-67.35579681396484,-175.6630401611328,0.4835369643733692,15.058823529411764
03/06/2017 15:45 (UTC),-67.3563003540039,-175.65769958496094,0.46138920714735926,15.058823529411764
03/06/2017 16:00 (UTC),-67.35690307617188,-175.65257263183594,0.41526858098270214,16.0
03/06/2017 16:15 (UTC),-67.357666015625,-175.64781188964844,0.44194116504408076,16.0
03/06/2017 16:30 (UTC),-67.35847473144531,-175.6431427001953,0.3653163104025829,16.0
03/06/2017 16:45 (UTC),-67.35921478271484,-175.63938903808594,0.5095409614411913,16.0
03/06/2017 17:00 (UTC),-67.3600845336914,-175.63516235351562,0.3500171393217007,16.0
03/06/2017 17:15 (UTC),-67.36071014404297,-175.6315460205078,0.2801142649297962,13.473684210526315
03/06/2017 17:30 (UTC),-67.36133575439453,-175.6278533935547,0.3836039710771112,16.0
03/06/2017 17:45 (UTC),-67.36210632324219,-175.62449645996094,0.2958648335225534,15.058823529411764
03/06/2017 18:00 (UTC),-67.36284637451172,-175.621826171875,0.5063437422156915,16.0
03/06/2017 18:15 (UTC),-67.36376190185547,-175.61912536621094,0.41609613776730514,16.0
03/06/2017 18:30 (UTC),-67.36481475830078,-175.6168670654297,0.29664793868011763,13.473684210526315
03/06/2017 18:45 (UTC),-67.36615753173828,-175.61517333984375,0.3323853231701279,14.222222222222221
03/06/2017 19:00 (UTC),-67.36770629882812,-175.61363220214844,0.2681492189437584,15.058823529411764
03/06/2017 19:15 (UTC),-67.36946105957031,-175.6123504638672,0.194360491864341,16.0
03/06/2017 19:30 (UTC),-67.37164306640625,-175.61119079589844,0.21094074953190015,16.0
03/06/2017 19:45 (UTC),-67.37389373779297,-175.60983276367188,0.1283744549730426,15.058823529411764
03/06/2017 20:00 (UTC),-67.37632751464844,-175.6085205078125,0.1059811296614292,17.066666666666666
03/06/2017 20:15 (UTC),-67.3787612915039,-175.60755920410156,,
03/06/2017 20:45 (UTC),-67.38346862792969,-175.6066131591797,,
03/06/2017 21:00 (UTC),-67.38585662841797,-175.60618591308594,,
03/06/2017 21:15 (UTC),-67.38850402832031,-175.60549926757812,,
03/06/2017 21:30 (UTC),-67.39105224609375,-175.6051788330078,,
