DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
03/06/2017 13:00 (UTC),-67.56671905517578,-175.7982635498047,0.28230479914862405,15.058823529411764
03/06/2017 13:15 (UTC),-67.56721496582031,-175.7959747314453,0.14159095987548373,16.0
03/06/2017 13:30 (UTC),-67.5675048828125,-175.79379272460938,0.11523888061896176,17.066666666666666
03/06/2017 13:45 (UTC),-67.56774139404297,-175.79153442382812,0.11391224730235577,16.0
03/06/2017 14:00 (UTC),-67.56766510009766,-175.78955078125,0.1120714045232393,17.066666666666666
03/06/2017 14:15 (UTC),-67.56790161132812,-175.7869873046875,,
03/06/2017 14:30 (UTC),-67.5680160522461,-175.78485107421875,,
03/06/2017 14:45 (UTC),-67.56852722167969,-175.78216552734375,,
03/06/2017 15:00 (UTC),-67.56881713867188,-175.77980041503906,,
03/06/2017 15:15 (UTC),-67.56877136230469,-175.77769470214844,,
03/06/2017 15:30 (UTC),-67.56884002685547,-175.77577209472656,,
03/06/2017 15:45 (UTC),-67.5689697265625,-175.7741241455078,,
03/06/2017 16:00 (UTC),-67.56920623779297,-175.77284240722656,,
03/06/2017 16:15 (UTC),-67.56947326660156,-175.7719268798828,,
03/06/2017 16:30 (UTC),-67.56980895996094,-175.77122497558594,,
03/06/2017 16:45 (UTC),-67.57023620605469,-175.77081298828125,,
03/06/2017 17:00 (UTC),-67.57066345214844,-175.77020263671875,,
03/06/2017 17:15 (UTC),-67.5710220336914,-175.77012634277344,,
03/06/2017 17:30 (UTC),-67.5714111328125,-175.7702178955078,,
03/06/2017 18:00 (UTC),-67.57240295410156,-175.7704620361328,,
03/06/2017 18:15 (UTC),-67.5731430053711,-175.77101135253906,,
03/06/2017 18:30 (UTC),-67.57398986816406,-175.77218627929688,,
03/06/2017 18:45 (UTC),-67.57502746582031,-175.7739715576172,,
03/06/2017 19:00 (UTC),-67.57628631591797,-175.77598571777344,,
03/06/2017 19:15 (UTC),-67.57775115966797,-175.7779541015625,,
03/06/2017 19:30 (UTC),-67.57937622070312,-175.7797088623047,,
03/06/2017 19:45 (UTC),-67.58106231689453,-175.78138732910156,,
03/06/2017 20:00 (UTC),-67.58294677734375,-175.78330993652344,0.11468216758929325,16.0
03/06/2017 20:15 (UTC),-67.5848617553711,-175.78501892089844,,
03/06/2017 20:30 (UTC),-67.58699798583984,-175.7862091064453,,
03/06/2017 20:45 (UTC),-67.58878326416016,-175.78756713867188,,
03/06/2017 21:00 (UTC),-67.59089660644531,-175.78892517089844,,
03/06/2017 21:15 (UTC),-67.59313201904297,-175.79006958007812,,
03/06/2017 21:30 (UTC),-67.59542846679688,-175.7911376953125,,
03/06/2017 21:45 (UTC),-67.59754180908203,-175.79197692871094,,
03/06/2017 22:00 (UTC),-67.59953308105469,-175.7924041748047,0.10330537370732103,15.058823529411764
03/06/2017 22:15 (UTC),-67.60157775878906,-175.79263305664062,,
03/06/2017 22:30 (UTC),-67.6035385131836,-175.79229736328125,,
03/06/2017 22:45 (UTC),-67.60533905029297,-175.7914581298828,,
03/06/2017 23:00 (UTC),-67.6070556640625,-175.78929138183594,,
03/06/2017 23:15 (UTC),-67.60851287841797,-175.7862091064453,,
03/06/2017 23:30 (UTC),-67.60992431640625,-175.7814483642578,,
04/06/2017 00:00 (UTC),-67.61197662353516,-175.7699737548828,,
04/06/2017 00:15 (UTC),-67.61260986328125,-175.76385498046875,,
04/06/2017 00:30 (UTC),-67.61292266845703,-175.75729370117188,,
04/06/2017 00:45 (UTC),-67.61331939697266,-175.75048828125,,
