DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
02/06/2017 08:30 (UTC),-69.45184326171875,-176.0705108642578,0.14827002312995982,21.333333333333332
02/06/2017 08:45 (UTC),-69.45106506347656,-176.0663604736328,0.11973303719790843,23.272727272727273
02/06/2017 09:00 (UTC),-69.45030212402344,-176.06248474121094,0.13517395989478398,17.066666666666666
02/06/2017 09:15 (UTC),-69.44943237304688,-176.05816650390625,0.15481601972971812,16.0
02/06/2017 09:30 (UTC),-69.44866180419922,-176.05392456054688,0.11572381111566703,16.0
02/06/2017 09:45 (UTC),-69.44781494140625,-176.04957580566406,0.15104966238387246,21.333333333333332
02/06/2017 13:30 (UTC),-69.42901611328125,-175.985595703125,0.15035957164448288,19.692307692307693
02/06/2017 13:45 (UTC),-69.42715454101562,-175.98170471191406,0.11620671400842235,18.285714285714285
02/06/2017 14:00 (UTC),-69.42530059814453,-175.97816467285156,0.12979984501712244,19.692307692307693
02/06/2017 14:15 (UTC),-69.42326354980469,-175.97483825683594,0.1149608631243969,19.692307692307693
02/06/2017 14:30 (UTC),-69.42127227783203,-175.97174072265625,,
02/06/2017 14:45 (UTC),-69.41918182373047,-175.9688262939453,0.12674383371447168,18.285714285714285
02/06/2017 15:00 (UTC),-69.41706848144531,-175.96612548828125,0.10748023268631957,18.285714285714285
02/06/2017 15:15 (UTC),-69.4149169921875,-175.9635009765625,0.11723480859142697,19.692307692307693
02/06/2017 15:30 (UTC),-69.41277313232422,-175.96104431152344,,
02/06/2017 15:45 (UTC),-69.41060638427734,-175.9589385986328,,
02/06/2017 16:00 (UTC),-69.40868377685547,-175.95730590820312,,
02/06/2017 16:15 (UTC),-69.40655517578125,-175.95535278320312,0.12831212167131306,19.692307692307693
02/06/2017 16:30 (UTC),-69.40464782714844,-175.95346069335938,,
02/06/2017 21:00 (UTC),-69.36358642578125,-175.91064453125,,
02/06/2017 22:15 (UTC),-69.35266876220703,-175.90362548828125,,
02/06/2017 22:30 (UTC),-69.35065460205078,-175.90267944335938,,
02/06/2017 22:45 (UTC),-69.34864044189453,-175.90170288085938,,
02/06/2017 23:00 (UTC),-69.34685516357422,-175.90074157714844,,
02/06/2017 23:15 (UTC),-69.34498596191406,-175.8999786376953,,
02/06/2017 23:30 (UTC),-69.34320831298828,-175.89898681640625,,
02/06/2017 23:45 (UTC),-69.3415298461914,-175.8981475830078,,
03/06/2017 02:00 (UTC),-69.32763671875,-175.89244079589844,,
03/06/2017 02:15 (UTC),-69.3262939453125,-175.891845703125,,
03/06/2017 13:15 (UTC),-69.30335998535156,-175.86721801757812,,
03/06/2017 13:30 (UTC),-69.30361938476562,-175.8656005859375,,
03/06/2017 13:45 (UTC),-69.30307006835938,-175.8641357421875,,
03/06/2017 14:00 (UTC),-69.30290222167969,-175.86268615722656,,
03/06/2017 14:15 (UTC),-69.30316162109375,-175.86050415039062,,
03/06/2017 14:30 (UTC),-69.30345153808594,-175.85926818847656,,
03/06/2017 14:45 (UTC),-69.30360412597656,-175.8578338623047,,
03/06/2017 15:00 (UTC),-69.30367279052734,-175.85646057128906,,
03/06/2017 15:15 (UTC),-69.30375671386719,-175.85519409179688,,
03/06/2017 15:30 (UTC),-69.30384063720703,-175.85414123535156,,
03/06/2017 16:15 (UTC),-69.30428314208984,-175.85076904296875,,
03/06/2017 16:30 (UTC),-69.30438995361328,-175.8497772216797,,
03/06/2017 16:45 (UTC),-69.30457305908203,-175.84886169433594,,
03/06/2017 18:00 (UTC),-69.30615997314453,-175.8447265625,,
03/06/2017 18:15 (UTC),-69.30654907226562,-175.84381103515625,,
03/06/2017 18:30 (UTC),-69.30699157714844,-175.8428955078125,,
03/06/2017 18:45 (UTC),-69.30746459960938,-175.8420867919922,,
03/06/2017 19:00 (UTC),-69.30796813964844,-175.8412322998047,,
03/06/2017 20:30 (UTC),-69.31114959716797,-175.83445739746094,,
03/06/2017 20:45 (UTC),-69.31159210205078,-175.83303833007812,,
03/06/2017 21:00 (UTC),-69.3121337890625,-175.8312530517578,,
03/06/2017 21:15 (UTC),-69.3127212524414,-175.83006286621094,,
03/06/2017 21:45 (UTC),-69.31517028808594,-175.82125854492188,,
03/06/2017 23:00 (UTC),-69.31602478027344,-175.8171844482422,,
04/06/2017 00:45 (UTC),-69.31798553466797,-175.80152893066406,,
04/06/2017 01:00 (UTC),-69.3181381225586,-175.7992706298828,,
