DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
22/04/2017 01:30 (UTC),-69.96929168701172,172.04640197753906,0.3686733012526486,15.058823529411764
22/04/2017 01:45 (UTC),-69.9683837890625,172.0487518310547,0.47411391216460913,12.8
22/04/2017 02:00 (UTC),-69.96749877929688,172.0508575439453,0.32142184218295755,13.473684210526315
22/04/2017 02:15 (UTC),-69.96675872802734,172.05282592773438,0.30394736896834523,14.222222222222221
22/04/2017 02:30 (UTC),-69.96576690673828,172.05450439453125,0.3791780578383341,15.058823529411764
22/04/2017 02:45 (UTC),-69.9648666381836,172.05581665039062,0.4170179872772865,13.473684210526315
22/04/2017 03:00 (UTC),-69.96401977539062,172.0570068359375,0.3245181000111108,15.058823529411764
22/04/2017 03:15 (UTC),-69.96320343017578,172.05783081054688,0.3872983423156682,14.222222222222221
22/04/2017 03:30 (UTC),-69.96234893798828,172.0584259033203,0.3845828827779217,12.19047619047619
22/04/2017 03:45 (UTC),-69.96148681640625,172.05874633789062,0.37234392893695256,14.222222222222221
22/04/2017 04:00 (UTC),-69.9610366821289,172.05848693847656,0.3644612539351786,14.222222222222221
22/04/2017 04:15 (UTC),-69.96031951904297,172.05838012695312,0.3978140197628985,12.19047619047619
22/04/2017 04:30 (UTC),-69.959716796875,172.05770874023438,0.314146460986721,12.19047619047619
22/04/2017 04:45 (UTC),-69.95913696289062,172.05699157714844,0.41944725360764745,14.222222222222221
22/04/2017 05:00 (UTC),-69.95865631103516,172.05599975585938,0.31184612052544786,12.8
22/04/2017 05:15 (UTC),-69.95807647705078,172.0550994873047,0.3060196097501402,13.473684210526315
22/04/2017 05:30 (UTC),-69.957763671875,172.05357360839844,0.28822213525654566,14.222222222222221
22/04/2017 05:45 (UTC),-69.95742797851562,172.05230712890625,0.2666533283657885,12.8
22/04/2017 06:00 (UTC),-69.95711517333984,172.05081176757812,0.2985833231184867,14.222222222222221
22/04/2017 06:15 (UTC),-69.9568099975586,172.04937744140625,0.3506793373251145,14.222222222222221
22/04/2017 06:30 (UTC),-69.95662689208984,172.04812622070312,0.31084401532057615,13.473684210526315
22/04/2017 06:45 (UTC),-69.95654296875,172.04664611816406,0.29570255153504654,16.0
22/04/2017 07:00 (UTC),-69.95626068115234,172.0453338623047,0.27741664949231615,12.19047619047619
22/04/2017 07:15 (UTC),-69.95626831054688,172.0438995361328,0.26190073888287746,14.222222222222221
22/04/2017 07:30 (UTC),-69.9561767578125,172.04275512695312,0.22152201048516332,14.222222222222221
22/04/2017 07:45 (UTC),-69.95612335205078,172.0414581298828,0.21978170762542593,13.473684210526315
22/04/2017 08:00 (UTC),-69.95600128173828,172.04043579101562,0.22824548583460522,14.222222222222221
22/04/2017 08:15 (UTC),-69.95588684082031,172.03924560546875,0.19895728100170496,15.058823529411764
22/04/2017 08:30 (UTC),-69.95576477050781,172.03732299804688,0.1816810439884887,12.8
22/04/2017 08:45 (UTC),-69.95570373535156,172.03651428222656,0.189230020645739,15.058823529411764
22/04/2017 09:00 (UTC),-69.95555877685547,172.0357666015625,0.15803797072153639,15.058823529411764
22/04/2017 09:15 (UTC),-69.95529174804688,172.03468322753906,0.15692035996684647,16.0
22/04/2017 09:30 (UTC),-69.95508575439453,172.03334045410156,0.12718490569821916,13.473684210526315
22/04/2017 09:45 (UTC),-69.95486450195312,172.031982421875,0.14333178283255693,18.285714285714285
22/04/2017 10:00 (UTC),-69.95448303222656,172.03033447265625,0.11579291709618468,18.285714285714285
22/04/2017 10:15 (UTC),-69.95413970947266,172.02867126464844,0.13810141178603466,16.0
22/04/2017 13:15 (UTC),-69.94730377197266,171.99693298339844,0.1353513937834862,15.058823529411764
22/04/2017 13:30 (UTC),-69.94660186767578,171.9932403564453,0.12399999892663571,13.473684210526315
22/04/2017 13:45 (UTC),-69.9458999633789,171.98939514160156,0.1361175944553158,16.0
22/04/2017 14:00 (UTC),-69.94514465332031,171.9856719970703,0.15414279173475157,15.058823529411764
22/04/2017 14:15 (UTC),-69.94429016113281,171.9818572998047,0.13475904586875997,14.222222222222221
22/04/2017 14:30 (UTC),-69.94351959228516,171.97821044921875,0.16272676628664481,16.0
22/04/2017 14:45 (UTC),-69.94266510009766,171.9743194580078,0.1430524357038348,13.473684210526315
22/04/2017 15:00 (UTC),-69.94171142578125,171.9703826904297,0.11228535112519007,16.0
22/04/2017 15:15 (UTC),-69.9407730102539,171.9666748046875,0.1454922648578531,15.058823529411764
22/04/2017 15:30 (UTC),-69.93978118896484,171.96315002441406,0.12942952096845134,14.222222222222221
22/04/2017 15:45 (UTC),-69.93865203857422,171.95956420898438,0.10430723828181208,12.19047619047619
22/04/2017 16:00 (UTC),-69.93753814697266,171.95567321777344,0.12039933368714925,16.0
22/04/2017 16:15 (UTC),-69.9363784790039,171.95188903808594,0.10438390718789281,18.285714285714285
22/04/2017 16:30 (UTC),-69.9352035522461,171.94802856445312,,
22/04/2017 16:45 (UTC),-69.93376922607422,171.9445037841797,,
22/04/2017 17:00 (UTC),-69.9321517944336,171.94093322753906,,
22/04/2017 17:15 (UTC),-69.93079376220703,171.9368438720703,,
22/04/2017 17:30 (UTC),-69.92949676513672,171.93270874023438,,
22/04/2017 18:00 (UTC),-69.92707061767578,171.92416381835938,,
22/04/2017 18:15 (UTC),-69.92554473876953,171.9197540283203,,
22/04/2017 18:30 (UTC),-69.92401123046875,171.91519165039062,,
22/04/2017 18:45 (UTC),-69.92253875732422,171.91075134277344,,
22/04/2017 19:00 (UTC),-69.92105102539062,171.90611267089844,,
22/04/2017 19:15 (UTC),-69.91939544677734,171.90118408203125,,
22/04/2017 19:30 (UTC),-69.91796112060547,171.89590454101562,,
22/04/2017 19:45 (UTC),-69.91627502441406,171.89039611816406,0.10529957112518644,17.066666666666666
22/04/2017 20:00 (UTC),-69.91463470458984,171.88510131835938,,
22/04/2017 20:15 (UTC),-69.91314697265625,171.8798370361328,,
22/04/2017 20:30 (UTC),-69.91159057617188,171.8751678466797,,
22/04/2017 20:45 (UTC),-69.90982055664062,171.86935424804688,,
22/04/2017 21:00 (UTC),-69.9085464477539,171.86378479003906,,
22/04/2017 21:15 (UTC),-69.90734100341797,171.85867309570312,,
22/04/2017 21:30 (UTC),-69.90583801269531,171.85353088378906,,
22/04/2017 21:45 (UTC),-69.90438842773438,171.84841918945312,,
22/04/2017 22:00 (UTC),-69.90274047851562,171.84327697753906,,
22/04/2017 22:15 (UTC),-69.90103149414062,171.8383026123047,,
22/04/2017 22:30 (UTC),-69.89907836914062,171.83399963378906,,
22/04/2017 22:45 (UTC),-69.89769744873047,171.82870483398438,,
22/04/2017 23:00 (UTC),-69.8960189819336,171.82400512695312,,
22/04/2017 23:15 (UTC),-69.89432525634766,171.81939697265625,,
22/04/2017 23:30 (UTC),-69.89263153076172,171.8148193359375,,
23/04/2017 00:00 (UTC),-69.88905334472656,171.80551147460938,,
23/04/2017 00:15 (UTC),-69.88716125488281,171.8008575439453,,
23/04/2017 00:30 (UTC),-69.88534545898438,171.79649353027344,,
23/04/2017 00:45 (UTC),-69.88357543945312,171.7920379638672,,
23/04/2017 01:00 (UTC),-69.8816146850586,171.78761291503906,,
23/04/2017 01:15 (UTC),-69.879638671875,171.78305053710938,,
23/04/2017 01:30 (UTC),-69.8776626586914,171.7784881591797,,
23/04/2017 01:45 (UTC),-69.87559509277344,171.77401733398438,,
23/04/2017 02:00 (UTC),-69.87342071533203,171.76963806152344,,
23/04/2017 02:15 (UTC),-69.8709716796875,171.7647247314453,,
23/04/2017 02:30 (UTC),-69.86901092529297,171.76034545898438,,
23/04/2017 02:45 (UTC),-69.8670425415039,171.75526428222656,,
23/04/2017 03:00 (UTC),-69.86515808105469,171.7509765625,,
23/04/2017 03:15 (UTC),-69.86297607421875,171.74607849121094,,
23/04/2017 03:30 (UTC),-69.86079406738281,171.7414093017578,,
23/04/2017 03:45 (UTC),-69.85861206054688,171.7366485595703,,
23/04/2017 04:00 (UTC),-69.85649108886719,171.73223876953125,0.10851728093399117,17.066666666666666
23/04/2017 04:15 (UTC),-69.85425567626953,171.7276611328125,,
23/04/2017 04:30 (UTC),-69.85197448730469,171.7230682373047,,
23/04/2017 04:45 (UTC),-69.84967803955078,171.718505859375,,
23/04/2017 05:00 (UTC),-69.8474349975586,171.71400451660156,,
23/04/2017 05:15 (UTC),-69.84502410888672,171.709228515625,,
23/04/2017 05:30 (UTC),-69.84259033203125,171.7045440673828,0.10423051298034962,16.0
23/04/2017 06:00 (UTC),-69.8385009765625,171.69650268554688,0.10969047519257047,17.066666666666666
23/04/2017 06:15 (UTC),-69.83638763427734,171.6922149658203,,
23/04/2017 06:30 (UTC),-69.83434295654297,171.68804931640625,,
23/04/2017 06:45 (UTC),-69.83231353759766,171.68368530273438,,
23/04/2017 07:00 (UTC),-69.83030700683594,171.67938232421875,,
23/04/2017 07:15 (UTC),-69.82819366455078,171.6753692626953,,
23/04/2017 07:30 (UTC),-69.82622528076172,171.67147827148438,,
23/04/2017 07:45 (UTC),-69.82418823242188,171.6674041748047,0.10198039041066771,18.285714285714285
23/04/2017 08:00 (UTC),-69.822265625,171.66311645507812,0.10103464964542921,19.692307692307693
23/04/2017 08:15 (UTC),-69.82038116455078,171.6592254638672,0.12315843459802575,15.058823529411764
23/04/2017 08:30 (UTC),-69.81849670410156,171.65548706054688,0.10071742620642693,14.222222222222221
23/04/2017 08:45 (UTC),-69.81652069091797,171.6517791748047,0.10346013507216423,15.058823529411764
23/04/2017 09:00 (UTC),-69.81454467773438,171.64840698242188,,
23/04/2017 09:15 (UTC),-69.81260681152344,171.6447296142578,,
23/04/2017 09:30 (UTC),-69.81066131591797,171.64151000976562,0.10307278918955076,18.285714285714285
23/04/2017 09:45 (UTC),-69.8088150024414,171.6385498046875,0.10859097744812253,18.285714285714285
23/04/2017 10:00 (UTC),-69.80675506591797,171.63560485839844,0.10174477707880894,18.285714285714285
23/04/2017 10:15 (UTC),-69.80474090576172,171.63267517089844,0.10237186970134472,18.285714285714285
23/04/2017 10:30 (UTC),-69.80274963378906,171.62994384765625,,
23/04/2017 10:45 (UTC),-69.79745483398438,171.62794494628906,0.10315037563259509,19.692307692307693
23/04/2017 11:00 (UTC),-69.79888916015625,171.6251983642578,,
23/04/2017 11:15 (UTC),-69.79682159423828,171.62290954589844,0.10903210620183142,17.066666666666666
23/04/2017 11:45 (UTC),-69.79290771484375,171.61936950683594,0.10221546063980677,14.222222222222221
23/04/2017 12:00 (UTC),-69.79110717773438,171.61798095703125,0.10384604064821122,17.066666666666666
23/04/2017 12:15 (UTC),-69.78919982910156,171.61654663085938,,
23/04/2017 12:30 (UTC),-69.78715515136719,171.6152801513672,0.11149887743147446,16.0
23/04/2017 12:45 (UTC),-69.78515625,171.61392211914062,0.11048981774569817,23.272727272727273
