time,lat,lon,moments,bin,psd
33,-62.11471,121.46226,"[206.793701, 15.134951, 1.124734, 0.08495, 0.006535, 0.000514]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.008642, 0.288532, 0.446272, 0.606395, 1.464356, 0.825821, 5.355799, 8.679698, 12.171244, 37.008266, 81.608887, 150.298981, 47.760994, 31.621305, 12.580215, 10.55335, 20.622173, 16.744444, 17.114277, 40.755512, 20.530994, 6.859581, 16.587105, 6.028952, 6.986003, 8.380834, 2.859125, 2.113784, 2.391462, 0.42411, 1.325828, 0.482167, 1.388553, 0.37179, 0.431548, 0.162376, 0.118848, 0.075912, 0.090666, 0.078599, 0.066546, 0.082318, 0.042881, 0.046893, 0.059181, 0.042228, 0.016404, 0.011525, 0.00348, 0.002013, 0.001785, 0.001278, 0.000515, 0.000288, 0.000259]"
36,-62.14999,121.60857,"[118.852364, 9.370292, 0.747867, 0.060372, 0.004932, 0.000408]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.006651, 0.048286, 0.115072, 0.13425, 0.420066, 1.157814, 2.265409, 3.726648, 2.69523, 2.106659, 2.62703, 10.87746, 13.558997, 49.135262, 47.24527, 74.144623, 24.111938, 28.69076, 30.799505, 10.223015, 11.606863, 18.39674, 13.578728, 8.935597, 7.204481, 4.638251, 5.062475, 3.794907, 1.212425, 0.23506, 1.635445, 0.418142, 0.460409, 0.271109, 0.124965, 0.196702, 0.054717, 0.048466, 0.090495, 0.046888, 0.043926, 0.026967, 0.035391, 0.031406, 0.015306, 0.011241, 0.011799, 0.006662, 0.002989, 0.003042, 0.00128, 0.000606, 0.000273, 0.000167, 0.000125]"
39,-62.14056,121.76758,"[117.862114, 9.301113, 0.741598, 0.059701, 0.004855, 0.0004]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.003402, 0.067258, 0.099131, 0.03001, 0.295691, 0.127889, 0.537864, 2.422786, 3.92776, 3.41243, 6.710585, 24.965622, 8.987148, 13.719678, 45.623268, 43.036049, 82.078201, 61.567352, 7.812311, 21.212282, 7.242672, 4.330301, 5.763229, 16.48315, 2.755179, 3.747136, 6.578586, 1.80741, 1.422166, 0.347539, 0.652695, 0.718623, 0.06844, 0.170033, 0.060844, 0.14589, 0.05394, 0.023406, 0.012857, 0.007139, 0.00938, 0.007363, 0.038549, 0.030286, 0.020942, 0.016426, 0.00851, 0.005423, 0.007741, 0.003052, 0.001524, 0.001418, 0.000588, 0.000191, 0.000213]"
42,-62.10943,121.84836,"[82.494629, 6.653456, 0.543323, 0.044882, 0.003751, 0.000318]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.003427, 0.039657, 0.013182, 0.165327, 0.115116, 0.180028, 0.502037, 1.204497, 1.324397, 1.333741, 4.953477, 6.337068, 32.203152, 18.085331, 10.548769, 15.888867, 8.1551, 52.402607, 33.280216, 11.902514, 23.196531, 10.633669, 12.272781, 12.615981, 4.112247, 4.016003, 2.993013, 4.887389, 1.877709, 1.440524, 0.251113, 0.298257, 0.150074, 0.08279, 0.089998, 0.072369, 0.021823, 0.030416, 0.013754, 0.014985, 0.005736, 0.003062, 0.008087, 0.007821, 0.032329, 0.025745, 0.007232, 0.005399, 0.003425, 0.001349, 0.000436, 0.000474, 0.000304, 0.000183, 0.000197]"
45,-62.09532,121.84315,"[42.382668, 3.287859, 0.271136, 0.023133, 0.002027, 0.000183]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.089287, 0.018016, 0.062732, 0.084215, 0.077889, 0.045644, 0.162543, 0.364571, 0.720268, 0.665084, 0.616331, 1.802439, 6.846413, 7.78054, 6.415226, 19.865002, 7.535126, 8.520885, 9.517303, 4.492079, 4.831227, 8.985316, 10.824661, 5.525009, 5.800372, 12.183283, 6.847617, 0.90807, 2.27518, 0.227524, 0.474542, 0.182631, 0.503341, 0.140239, 0.064104, 0.066035, 0.088835, 0.032493, 0.007824, 0.008094, 0.003418, 0.002602, 0.011365, 0.010691, 0.012887, 0.037921, 0.042401, 0.043722, 0.046839, 0.014043, 0.006287, 0.001595, 0.000948, 0.000528, 0.000794]"
48,-62.11699,121.88042,"[27.794123, 2.338647, 0.199565, 0.017263, 0.001515, 0.000135]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.002038, 0.028034, 0.017101, 0.033545, 0.151233, 0.071968, 0.152909, 0.201837, 0.244755, 0.79082, 0.828837, 2.144179, 1.816285, 4.49517, 5.774643, 4.253154, 7.470441, 5.635394, 11.0808, 13.230791, 7.891978, 7.963643, 3.922672, 7.82168, 1.65757, 2.805211, 5.890059, 1.285919, 0.20654, 1.473393, 0.397566, 0.781325, 0.605502, 0.372967, 0.115279, 0.066657, 0.052295, 0.051617, 0.034062, 0.017694, 0.003304, 0.002, 0.002232, 0.004442, 0.005513, 0.010132, 0.013189, 0.015228, 0.012773, 0.003192, 0.00087, 0.000475, 0.000418, 0.000288, 0.000818]"
51,-62.1269,121.97747,"[15.836506, 1.365731, 0.119618, 0.010625, 0.000958, 8.8e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.00117, 0.011361, 0.021259, 0.043918, 0.070302, 0.079885, 0.120598, 0.074404, 0.322927, 0.402855, 0.142471, 0.69171, 0.834253, 0.865441, 2.732587, 3.491647, 4.162927, 1.326835, 2.535843, 5.109648, 6.308212, 6.82828, 4.654238, 7.772579, 3.045765, 2.510738, 2.514147, 1.13457, 0.976901, 0.72415, 0.369181, 0.233478, 0.463485, 0.082152, 0.105902, 0.082615, 0.020021, 0.02179, 0.011562, 0.010524, 0.001967, 0.00081, 0.000735, 0.002755, 0.001722, 0.004826, 0.010592, 0.014503, 0.021204, 0.004245, 0.001593, 0.000377, 9.8e-05, 8.3e-05, 5.6e-05]"
54,-62.10596,122.03316,"[10.713016, 0.911594, 0.078937, 0.006938, 0.000619, 5.6e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.001202, 0.009525, 0.009724, 0.035906, 0.024096, 0.076612, 0.064454, 0.102329, 0.474956, 0.17274, 0.4687, 0.770324, 0.655607, 0.924169, 0.604441, 2.655021, 2.135164, 3.283007, 3.681478, 3.146115, 2.180443, 3.784348, 1.06376, 2.857455, 5.688754, 0.57254, 0.855604, 1.418824, 0.920611, 0.702017, 0.265976, 0.245685, 0.327064, 0.039054, 0.027388, 0.019843, 0.007347, 0.008818, 0.005792, 0.003174, 0.00097, 0.000272, 0.000369, 0.001347, 0.003255, 0.002919, 0.003888, 0.004046, 0.001753, 0.001359, 0.00085, 0.000138, 5.9e-05, 8e-06, 5e-06]"
57,-62.08885,122.01003,"[13.205828, 1.137403, 0.099601, 0.008839, 0.000794, 7.2e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.002682, 0.01415, 0.027023, 0.020978, 0.018909, 0.102841, 0.157154, 0.231409, 0.424672, 0.407368, 0.484236, 0.439931, 1.199449, 1.060022, 1.540832, 1.296117, 0.572448, 2.01041, 3.522483, 5.029513, 4.751355, 7.588319, 2.50402, 6.356479, 2.914706, 2.708744, 1.519705, 1.364801, 0.93533, 0.422655, 0.311025, 0.310586, 0.361507, 0.070829, 0.104994, 0.092188, 0.010831, 0.011041, 0.008841, 0.00557, 0.000559, 0.00024, 0.000362, 0.000513, 0.00015, 0.00036, 0.000679, 0.000476, 0.001121, 0.000916, 0.000913, 0.000266, 3.1e-05, 1.2e-05, 3e-06]"
60,-62.10065,121.98013,"[14.110918, 1.200101, 0.104246, 0.009209, 0.000826, 7.5e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.002412, 0.00298, 0.011442, 0.018773, 0.042166, 0.065713, 0.06476, 0.357266, 0.167174, 0.563921, 1.89183, 1.445359, 0.669971, 0.908947, 2.125628, 0.837838, 1.739607, 3.145469, 3.195325, 5.876207, 2.433097, 5.40494, 3.094799, 4.127619, 3.868392, 4.673084, 1.970048, 0.76676, 0.766446, 1.123893, 0.571426, 0.406427, 0.194525, 0.269037, 0.133109, 0.167411, 0.114592, 0.030482, 0.010338, 0.005338, 0.002389, 0.000295, 0.000288, 0.00013, 0.000414, 0.000389, 0.000446, 0.000332, 0.000382, 0.000304, 0.000217, 0.00013, 5.2e-05, 1.2e-05, 4e-06]"
