DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
02/06/2017 03:00 (UTC),-68.98091125488281,-176.13040161132812,0.11696153153127291,23.272727272727273
02/06/2017 03:15 (UTC),-68.98017883300781,-176.12806701660156,0.11537764016470049,21.333333333333332
02/06/2017 03:30 (UTC),-68.97942352294922,-176.12586975097656,0.11034491189816507,23.272727272727273
02/06/2017 03:45 (UTC),-68.97864532470703,-176.123779296875,,
02/06/2017 04:00 (UTC),-68.97785949707031,-176.12184143066406,0.10822199302350326,23.272727272727273
02/06/2017 04:15 (UTC),-68.97708129882812,-176.1201629638672,0.11228535112519007,21.333333333333332
02/06/2017 04:30 (UTC),-68.97622680664062,-176.1183319091797,0.14982656495693092,19.692307692307693
02/06/2017 04:45 (UTC),-68.9756088256836,-176.1167449951172,0.11544695739519081,21.333333333333332
02/06/2017 05:00 (UTC),-68.9747314453125,-176.1150360107422,0.1220491696167538,21.333333333333332
02/06/2017 05:15 (UTC),-68.97399139404297,-176.1134796142578,0.10613199370583998,19.692307692307693
02/06/2017 05:30 (UTC),-68.97264099121094,-176.11224365234375,0.14266043729998054,19.692307692307693
02/06/2017 05:45 (UTC),-68.97196197509766,-176.11053466796875,0.11959933090520171,19.692307692307693
02/06/2017 06:00 (UTC),-68.97128295898438,-176.10890197753906,0.11979983438414102,23.272727272727273
02/06/2017 06:15 (UTC),-68.97127532958984,-176.10728454589844,0.1578860342914645,19.692307692307693
02/06/2017 06:30 (UTC),-68.97071075439453,-176.10533142089844,0.14794593908118128,19.692307692307693
02/06/2017 06:45 (UTC),-68.97013854980469,-176.10337829589844,0.1326046748150331,16.0
02/06/2017 07:00 (UTC),-68.96958923339844,-176.10108947753906,0.11384199560637176,18.285714285714285
02/06/2017 07:15 (UTC),-68.96904754638672,-176.0986328125,0.14724129620048168,16.0
02/06/2017 07:30 (UTC),-68.96846008300781,-176.0959014892578,0.1634135866723134,19.692307692307693
02/06/2017 07:45 (UTC),-68.96784210205078,-176.09304809570312,0.1762725164102562,17.066666666666666
02/06/2017 08:00 (UTC),-68.96725463867188,-176.08990478515625,0.177763884054442,17.066666666666666
02/06/2017 08:15 (UTC),-68.96664428710938,-176.08673095703125,0.18782971122382264,18.285714285714285
02/06/2017 08:30 (UTC),-68.96598815917969,-176.08360290527344,0.1975854226571315,18.285714285714285
02/06/2017 09:00 (UTC),-68.9647445678711,-176.07655334472656,0.20618438254893648,18.285714285714285
02/06/2017 09:15 (UTC),-68.96399688720703,-176.0729522705078,0.19357685420251716,17.066666666666666
02/06/2017 09:30 (UTC),-68.96356964111328,-176.06935119628906,0.21406540764274862,15.058823529411764
02/06/2017 09:45 (UTC),-68.96296691894531,-176.065185546875,0.2019901024115655,15.058823529411764
02/06/2017 10:00 (UTC),-68.96228790283203,-176.06056213378906,0.2066494642361042,19.692307692307693
02/06/2017 10:15 (UTC),-68.961669921875,-176.05560302734375,0.2198908806027296,16.0
02/06/2017 10:30 (UTC),-68.96098327636719,-176.05088806152344,0.20238576769442895,19.692307692307693
