DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
02/06/2017 15:00 (UTC),-68.23875427246094,-176.09889221191406,0.157632481472335,21.333333333333332
02/06/2017 15:15 (UTC),-68.2367172241211,-176.09458923339844,0.1193314727847056,21.333333333333332
02/06/2017 15:30 (UTC),-68.23454284667969,-176.09072875976562,0.13833293326111282,21.333333333333332
02/06/2017 15:45 (UTC),-68.23239135742188,-176.08714294433594,0.11993331326536773,18.285714285714285
02/06/2017 16:00 (UTC),-68.2301254272461,-176.0836944580078,0.20396078082133542,21.333333333333332
02/06/2017 16:15 (UTC),-68.22799682617188,-176.0802459716797,0.12812493981383236,19.692307692307693
02/06/2017 16:30 (UTC),-68.22582244873047,-176.07667541503906,0.13914021800911788,19.692307692307693
02/06/2017 16:45 (UTC),-68.22344207763672,-176.07308959960938,0.11523888061896176,18.285714285714285
02/06/2017 17:00 (UTC),-68.22091674804688,-176.0693359375,0.1524204708975169,19.692307692307693
02/06/2017 17:15 (UTC),-68.21812438964844,-176.06593322753906,0.10613199370583998,18.285714285714285
02/06/2017 17:30 (UTC),-68.21561431884766,-176.06300354003906,,
02/06/2017 17:45 (UTC),-68.21298217773438,-176.060546875,0.1120714045232393,18.285714285714285
02/06/2017 18:00 (UTC),-68.21018981933594,-176.05824279785156,,
02/06/2017 18:15 (UTC),-68.20746612548828,-176.0563507080078,0.10135087560045858,17.066666666666666
02/06/2017 18:45 (UTC),-68.20211791992188,-176.05284118652344,,
02/06/2017 19:00 (UTC),-68.19934844970703,-176.05126953125,,
02/06/2017 19:15 (UTC),-68.19683837890625,-176.05007934570312,,
02/06/2017 19:30 (UTC),-68.19425964355469,-176.04910278320312,,
02/06/2017 19:45 (UTC),-68.19173431396484,-176.04791259765625,,
02/06/2017 20:00 (UTC),-68.1890869140625,-176.0469207763672,,
02/06/2017 20:15 (UTC),-68.18687438964844,-176.04559326171875,,
02/06/2017 20:30 (UTC),-68.1847152709961,-176.04429626464844,,
02/06/2017 20:45 (UTC),-68.182861328125,-176.04295349121094,,
02/06/2017 21:00 (UTC),-68.1811752319336,-176.04147338867188,,
02/06/2017 21:15 (UTC),-68.1797103881836,-176.04055786132812,,
02/06/2017 21:30 (UTC),-68.1778335571289,-176.03887939453125,,
02/06/2017 21:45 (UTC),-68.17623138427734,-176.03744506835938,,
02/06/2017 22:00 (UTC),-68.1745834350586,-176.03578186035156,,
02/06/2017 22:15 (UTC),-68.17313385009766,-176.03427124023438,,
02/06/2017 22:30 (UTC),-68.17151641845703,-176.0322723388672,,
02/06/2017 22:45 (UTC),-68.16981506347656,-176.03013610839844,,
02/06/2017 23:00 (UTC),-68.16824340820312,-176.0280303955078,,
02/06/2017 23:15 (UTC),-68.16661834716797,-176.02566528320312,,
02/06/2017 23:30 (UTC),-68.16483306884766,-176.02268981933594,,
02/06/2017 23:45 (UTC),-68.1631088256836,-176.01992797851562,,
03/06/2017 00:00 (UTC),-68.16130828857422,-176.01722717285156,,
