time,lat,lon,moments,bin,psd
33,--,--,"[None, None, None, None, None, None]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
36,--,--,"[None, None, None, None, None, None]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
39,-62.42007,121.52611,"[53.393002, 4.094259, 0.316824, 0.024738, 0.00195, 0.000155]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.002663, 0.019621, 0.037136, 0.131318, 0.189766, 0.202027, 0.850012, 0.619878, 1.341309, 4.162897, 7.873776, 8.932219, 7.868431, 30.484936, 19.328007, 21.893015, 20.493509, 3.477968, 3.247602, 8.362016, 4.640918, 7.803867, 3.529023, 1.982404, 1.747857, 1.544613, 0.552909, 0.361587, 0.134323, 0.090378, 0.155888, 0.025233, 0.026339, 0.012999, 0.006744, 0.002129, 0.004268, 0.001774, 0.000291, 0.000221, 0.000221, 0.00073, 0.000596, 0.000433, 0.000398, 0.000497, 0.000313, 0.000196, 4.8e-05, 5.8e-05, 2.3e-05, 2.2e-05, 2.4e-05, 2.7e-05, 2.7e-05]"
42,-62.41027,121.61181,"[59.104183, 4.597741, 0.360144, 0.028402, 0.002255, 0.00018]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.003622, 0.017172, 0.019798, 0.112576, 0.117177, 0.23636, 0.269733, 0.924588, 2.508578, 3.165631, 1.584761, 9.07898, 6.317797, 25.634245, 16.617184, 42.737965, 20.528343, 6.041461, 24.379887, 6.3523, 6.289814, 4.181471, 2.587687, 1.114014, 0.856259, 0.631576, 1.225962, 0.455931, 0.130833, 0.068586, 0.048958, 0.072157, 0.010345, 0.012503, 0.004664, 0.00337, 0.00081, 0.001103, 0.000488, 0.000466, 0.000237, 0.000425, 0.000384, 0.000551, 0.00046, 0.000323, 0.000237, 0.000236, 9e-05, 4e-05, 3.6e-05, 1.1e-05, 1.2e-05, 9e-06, 4e-06]"
45,-62.40441,121.64205,"[30.116842, 2.435158, 0.198298, 0.016251, 0.00134, 0.000111]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.002791, 0.012843, 0.018397, 0.0343, 0.120427, 0.079536, 0.049596, 0.231645, 0.191518, 0.687549, 0.829197, 2.663803, 2.507927, 6.170108, 9.122585, 10.258542, 7.335312, 15.335341, 6.018658, 26.594816, 4.204635, 3.579068, 1.225973, 1.194958, 1.708698, 0.479993, 0.219558, 0.179916, 0.226269, 0.062947, 0.045796, 0.061887, 0.010507, 0.011189, 0.005383, 0.001472, 0.001125, 0.002007, 0.00123, 0.000567, 3.8e-05, 6.2e-05, 7.1e-05, 6.4e-05, 9.3e-05, 0.000183, 0.000238, 9e-05, 7.4e-05, 3.7e-05, 2.2e-05, 4.2e-05, 1.1e-05, 6e-06, 1.9e-05]"
48,-62.4232,121.67845,"[12.861582, 1.063047, 0.089073, 0.007556, 0.000648, 5.6e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.001693, 0.009137, 0.009295, 0.079066, 0.106353, 0.124384, 0.120854, 0.371325, 0.244303, 0.262757, 0.867797, 0.463108, 1.942909, 2.454248, 2.498953, 2.282788, 3.163768, 1.619368, 5.684253, 3.240647, 4.305289, 3.381978, 1.694293, 5.878699, 1.482382, 1.216786, 1.447822, 0.183688, 0.03397, 0.196201, 0.131924, 0.044692, 0.01985, 0.007366, 0.002826, 0.000797, 0.000866, 0.000445, 0.00022, 0.000175, 8.3e-05, 2.6e-05, 2.5e-05, 4e-05, 3.4e-05, 4e-05, 9.4e-05, 4.5e-05, 4.1e-05, 3.5e-05, 5e-06, 7e-06, 5e-06, 6e-06, 4e-06]"
51,-62.44038,121.74266,"[11.121392, 0.930638, 0.078725, 0.006723, 0.000579, 5e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.001741, 0.011275, 0.013125, 0.024707, 0.041075, 0.100838, 0.15513, 0.100231, 0.296381, 0.182727, 0.310849, 0.332504, 0.459148, 1.682563, 2.593463, 1.952827, 1.79787, 4.023839, 2.18087, 5.746387, 4.897347, 4.441796, 1.391529, 4.195773, 1.70196, 0.696682, 0.433452, 0.176613, 0.100389, 0.032463, 0.071896, 0.035691, 0.054455, 0.028146, 0.00549, 0.001941, 0.000949, 0.002176, 0.00085, 0.000451, 0.000107, 2.9e-05, 5.2e-05, 0.000105, 8.4e-05, 9.9e-05, 0.000102, 0.000134, 7e-05, 2.8e-05, 1e-05, 2e-06, 1e-06, 0.0, 0.0]"
54,-62.43302,121.80525,"[4.75179, 0.394805, 0.033326, 0.002851, 0.000247, 2.2e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.001632, 0.004133, 0.005325, 0.024593, 0.024418, 0.037676, 0.113524, 0.037502, 0.075293, 0.147124, 0.181373, 0.451328, 0.695612, 0.91378, 0.587606, 0.738409, 1.688308, 0.872396, 0.329157, 0.686725, 1.647715, 1.551009, 2.493409, 1.840499, 0.696708, 0.807437, 0.110571, 0.08346, 0.084348, 0.04109, 0.02371, 0.021506, 0.013091, 0.001825, 0.001706, 0.001712, 0.000263, 0.000243, 0.000152, 8.9e-05, 4.5e-05, 4.9e-05, 1.8e-05, 9e-06, 1.3e-05, 2.5e-05, 5.5e-05, 7.1e-05, 8.5e-05, 2.5e-05, 1.2e-05, 7e-06, 4e-06, 3e-06, 1e-06]"
57,-62.42469,121.7995,"[4.072926, 0.337294, 0.028565, 0.002463, 0.000216, 1.9e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.002476, 0.006233, 0.021225, 0.084344, 0.041985, 0.02221, 0.061131, 0.170388, 0.133489, 0.085698, 0.325036, 0.291298, 0.661646, 0.549936, 0.510568, 0.899829, 0.665887, 0.350078, 0.781242, 1.174345, 0.739317, 1.719057, 0.883496, 1.179554, 0.608889, 1.07516, 0.945804, 0.293355, 0.068976, 0.142155, 0.03027, 0.045267, 0.02178, 0.00216, 0.002741, 0.002276, 0.001644, 0.000506, 0.000287, 0.000147, 5.1e-05, 3.8e-05, 1.4e-05, 3.5e-05, 3.1e-05, 4.3e-05, 6.2e-05, 9.5e-05, 6.3e-05, 2.9e-05, 9e-06, 6e-06, 6e-06, 5e-06, 4e-06]"
60,-62.43967,121.78563,"[4.805203, 0.397162, 0.033533, 0.002883, 0.000252, 2.2e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.000969, 0.018555, 0.013528, 0.035345, 0.014062, 0.044508, 0.126234, 0.088757, 0.162166, 0.608751, 0.58586, 0.419731, 0.464757, 0.526874, 0.804052, 0.738598, 0.548989, 0.226929, 1.126263, 0.855, 1.972408, 1.77616, 0.761266, 1.199164, 1.973666, 0.385364, 0.850266, 0.117589, 0.384165, 0.226519, 0.047707, 0.009408, 0.009335, 0.006749, 0.009552, 0.002609, 0.002, 0.000394, 0.000132, 0.000127, 4.1e-05, 6.5e-05, 4e-05, 2.9e-05, 6.2e-05, 0.000108, 0.000119, 3.8e-05, 2.2e-05, 1.7e-05, 3e-06, 1e-06, 1e-06, 0.0, 0.0]"
