time,lat,lon,moments,bin,psd
3,-61.29854,121.2714,"[18.823828, 1.540912, 0.131854, 0.011612, 0.001046, 9.6e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.015674, 0.095496, 0.092408, 0.322491, 0.220789, 0.344203, 0.104899, 0.801713, 0.964685, 1.101761, 0.98761, 2.664758, 1.64248, 0.500671, 2.355124, 1.52248, 1.854106, 0.924659, 1.484431, 5.109095, 3.988985, 12.681015, 5.794912, 5.637031, 2.987035, 3.357307, 1.815912, 1.568582, 0.816414, 1.441173, 0.689824, 0.304832, 0.228301, 0.382841, 0.902474, 0.267658, 0.294003, 0.053578, 0.04254, 0.115481, 0.045762, 0.013574, 0.008731, 0.004321, 0.003155, 0.002163, 0.001325, 0.000911, 0.002552, 0.000947, 0.000138, 2.5e-05, 1.2e-05, 8e-06, 7e-06]"
6,-61.53626,120.87727,"[17.483103, 1.50267, 0.133957, 0.012278, 0.001154, 0.000111]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.007884, 0.081399, 0.071419, 0.104987, 0.094673, 0.169511, 0.422053, 0.384485, 0.771854, 0.639805, 0.744023, 2.206383, 0.48358, 0.841947, 1.803741, 1.10763, 1.013345, 1.312508, 4.093007, 6.394393, 6.955229, 4.830707, 5.838412, 6.712007, 5.135119, 1.033407, 1.331911, 1.88764, 1.842583, 0.522405, 1.044047, 0.710959, 1.085264, 0.841667, 0.331368, 0.614633, 1.593147, 1.177548, 0.220184, 0.245253, 0.346858, 0.063111, 0.039918, 0.006022, 0.002752, 0.001612, 0.000273, 0.00012, 0.000185, 7.7e-05, 2.1e-05, 2.3e-05, 7e-06, 7e-06, 5e-06]"
9,-61.2582,121.4132,"[72.0905, 5.956978, 0.540514, 0.051538, 0.005093, 0.00052]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.06422, 0.082413, 0.28318, 0.184072, 0.367684, 1.228835, 0.909645, 1.213194, 2.376058, 1.670749, 2.248309, 1.823444, 2.19905, 1.553279, 3.308306, 5.229963, 0.707248, 9.902638, 5.614798, 4.426366, 6.861172, 40.202732, 60.103931, 12.035669, 16.3013, 6.832875, 5.216375, 9.407734, 12.781945, 7.048702, 9.839514, 2.093796, 2.012508, 4.295942, 1.264924, 3.289568, 2.775239, 2.6061, 2.798487, 2.229549, 1.658637, 1.217882, 0.817073, 0.441757, 0.557063, 0.171894, 0.120058, 0.058472, 0.018888, 0.008426, 0.003703, 0.000665, 0.000213, 0.000125, 6.5e-05]"
12,-61.40824,121.15723,"[6.779451, 0.49236, 0.03664, 0.002786, 0.000216, 1.7e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.003908, 0.04571, 0.21116, 0.211012, 0.185778, 0.282038, 0.632715, 0.564976, 1.604066, 0.815283, 0.898423, 0.688468, 0.340882, 1.201798, 1.61908, 0.624669, 2.170041, 1.57137, 0.378476, 1.463537, 1.124974, 0.872558, 0.356874, 0.457754, 0.144173, 0.039369, 0.060129, 0.007508, 0.01164, 0.001813, 0.002792, 0.003174, 0.000849, 0.00062, 0.000895, 0.000415, 5.9e-05, 0.000141, 8.9e-05, 9.6e-05, 0.000184, 9.6e-05, 8.5e-05, 3.9e-05, 3.5e-05, 7e-05, 3.8e-05, 1.9e-05, 1.3e-05, 2e-06, 2e-06, 1e-06, 1e-06, 0.0, 0.0]"
15,-61.51758,121.18118,"[1.4626, 0.094003, 0.006297, 0.000435, 3.1e-05, 2e-06]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.005863, 0.0446, 0.068633, 0.161115, 0.076628, 0.101706, 0.133395, 0.321299, 0.185214, 0.208893, 0.258627, 0.140586, 0.114255, 0.325879, 0.185365, 0.167894, 0.146926, 0.205948, 0.076095, 0.036743, 0.07889, 0.031219, 0.024619, 0.008356, 0.00134, 0.002449, 0.001817, 0.000226, 0.000412, 0.000226, 0.000109, 8e-06, 1.6e-05, 4e-05, 0.000103, 4.4e-05, 1.4e-05, 2.2e-05, 3.9e-05, 2.7e-05, 2.7e-05, 3.4e-05, 2.8e-05, 1.6e-05, 9e-06, 1e-05, 1.2e-05, 8e-06, 8e-06, 8e-06, 5e-06, 3e-06, 5e-06, 2e-06, 2e-06]"
18,-61.54881,121.08153,"[1.039455, 0.068517, 0.004704, 0.000333, 2.4e-05, 2e-06]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.003834, 0.036743, 0.059592, 0.042029, 0.075018, 0.078122, 0.121856, 0.162911, 0.054391, 0.140764, 0.17366, 0.09865, 0.144693, 0.32805, 0.163972, 0.254938, 0.119376, 0.022875, 0.127727, 0.063703, 0.017199, 0.038756, 0.004328, 0.009572, 0.006314, 0.003008, 0.002054, 0.000694, 0.000179, 7.2e-05, 0.0001, 0.000423, 9.1e-05, 0.000127, 0.000104, 8.7e-05, 0.000102, 0.000197, 3.7e-05, 6.3e-05, 8.5e-05, 7.6e-05, 8.3e-05, 7.2e-05, 9.5e-05, 8.6e-05, 7.4e-05, 6.3e-05, 2.5e-05, 1.1e-05, 1.1e-05, 1.4e-05, 1.2e-05, 2.3e-05, 8e-06]"
21,-61.63351,120.99311,"[30.167196, 2.698973, 0.246525, 0.022903, 0.00216, 0.000207]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.00465, 0.105214, 0.036132, 0.071393, 0.047405, 0.065333, 0.175405, 0.556967, 0.28121, 0.570467, 0.864236, 2.18369, 2.487084, 1.638575, 1.425974, 4.564504, 1.92395, 7.043147, 3.897621, 5.528679, 7.57335, 11.765522, 7.873882, 12.658146, 7.573742, 8.721819, 3.429371, 1.528727, 9.360993, 10.096342, 2.185442, 2.393223, 3.487623, 2.103203, 0.220282, 0.653018, 0.492109, 0.236036, 0.14841, 0.081219, 0.012301, 0.004321, 0.000872, 0.000296, 0.000277, 0.000157, 0.000247, 0.000174, 0.000189, 0.000118, 8.6e-05, 0.000109, 7.9e-05, 4.1e-05, 1.6e-05]"
24,-61.71047,121.08929,"[129.233597, 11.500682, 1.037169, 0.094502, 0.008692, 0.000807]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.009898, 0.051293, 0.071972, 0.284204, 0.249169, 0.177555, 0.414525, 1.022814, 0.535211, 1.041206, 4.705377, 3.326542, 1.273368, 3.503458, 3.197175, 3.817563, 8.523508, 20.240221, 46.278316, 73.236938, 37.198433, 71.197365, 55.524021, 45.080517, 21.795683, 56.942966, 15.025676, 11.911345, 8.858502, 11.068887, 6.078905, 3.629936, 3.258104, 2.85433, 1.844909, 1.065251, 2.135368, 0.820968, 0.262218, 0.465623, 0.186775, 0.07605, 0.02459, 0.009475, 0.001668, 0.002008, 0.001494, 0.001806, 0.003693, 0.001938, 0.000912, 0.000647, 0.000194, 0.000164, 0.000149]"
27,-61.72931,121.24235,"[125.242371, 10.448537, 0.884976, 0.076079, 0.00665, 0.000593]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.011141, 0.026028, 0.058983, 0.078755, 0.103376, 0.51073, 0.527999, 3.32202, 1.879608, 2.956778, 1.469781, 9.10072, 9.400569, 10.771856, 36.579185, 34.840744, 19.338955, 26.664644, 75.826607, 48.83725, 48.298191, 33.097218, 10.023313, 14.30364, 9.740251, 11.33344, 5.444615, 7.149694, 6.467534, 8.689654, 1.152104, 1.467353, 2.378658, 2.111362, 1.448775, 1.828218, 0.944806, 0.702503, 0.52818, 0.414532, 0.20471, 0.038901, 0.066406, 0.081045, 0.128711, 0.073866, 0.070086, 0.085871, 0.042552, 0.00929, 0.00677, 0.001943, 0.002113, 0.001125, 0.000675]"
30,-61.73091,121.33202,"[542.663757, 40.689384, 3.109476, 0.24164, 0.019108, 0.001541]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.10537, 0.10037, 0.216508, 0.46782, 1.280424, 3.562617, 6.207881, 19.582256, 43.325153, 26.016659, 75.32917, 88.495995, 415.984375, 185.551346, 108.556145, 53.15641, 90.390511, 110.339767, 59.423965, 63.171421, 35.223446, 56.244049, 22.339586, 19.293924, 16.700701, 23.736715, 6.784195, 10.484558, 9.977113, 3.331476, 4.942775, 4.02199, 4.697834, 6.835848, 3.321846, 1.594179, 1.170947, 0.631638, 0.769192, 0.81854, 0.516227, 0.168255, 0.095471, 0.055141, 0.037747, 0.029009, 0.012933, 0.01135, 0.006318, 0.003707, 0.001217, 0.001976, 0.001209, 0.000356, 0.000356]"
