time,lat,lon,moments,bin,psd
3,-61.29882,121.27085,"[19.151394, 1.565928, 0.133905, 0.011788, 0.001062, 9.8e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.014772, 0.096318, 0.093842, 0.324634, 0.232187, 0.346981, 0.106891, 0.820559, 0.973358, 1.167436, 1.058129, 2.694525, 1.72585, 0.539257, 2.404422, 1.648778, 1.805179, 0.96147, 1.539845, 5.04291, 3.972045, 12.791866, 5.947475, 5.650588, 2.999157, 3.413679, 1.858366, 1.596255, 0.829344, 1.504972, 0.743068, 0.313675, 0.220488, 0.388528, 0.895193, 0.287692, 0.302666, 0.046971, 0.040827, 0.117963, 0.045801, 0.013969, 0.009004, 0.004549, 0.003355, 0.002417, 0.00145, 0.000987, 0.002734, 0.001034, 0.000153, 2.7e-05, 1.3e-05, 8e-06, 8e-06]"
6,-61.5363,120.87702,"[17.543118, 1.508413, 0.134616, 0.012358, 0.001164, 0.000112]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.008763, 0.0783, 0.069966, 0.110557, 0.089332, 0.168835, 0.421399, 0.377463, 0.765744, 0.655052, 0.758463, 2.234125, 0.476369, 0.863148, 1.819941, 1.148515, 1.011417, 1.304622, 3.999208, 6.408839, 6.917329, 4.847518, 5.621802, 6.949993, 5.087315, 1.015987, 1.396865, 1.832562, 1.880784, 0.502482, 1.059436, 0.741611, 1.090539, 0.859546, 0.330939, 0.608396, 1.673419, 1.236473, 0.236155, 0.256695, 0.370595, 0.070647, 0.044498, 0.006985, 0.0031, 0.001779, 0.00032, 0.000127, 0.000187, 8.5e-05, 2.3e-05, 2.3e-05, 7e-06, 8e-06, 5e-06]"
9,-61.25861,121.41251,"[73.390335, 6.064403, 0.551315, 0.052738, 0.005234, 0.000538]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.073625, 0.079839, 0.305326, 0.202162, 0.353831, 1.234003, 0.944718, 1.233799, 2.52823, 1.689425, 2.200786, 1.997872, 2.205901, 1.582822, 3.415554, 5.268102, 0.767733, 9.786076, 5.507934, 4.372103, 6.94985, 40.452282, 60.546188, 12.121868, 16.357616, 6.946498, 5.206808, 9.418648, 13.077441, 7.222084, 10.44553, 2.179249, 2.140414, 4.453236, 1.348757, 3.654572, 2.873572, 2.778224, 3.026356, 2.3604, 1.811713, 1.2988, 0.894176, 0.489072, 0.624083, 0.193616, 0.134893, 0.065871, 0.02214, 0.009359, 0.004181, 0.000743, 0.000233, 0.000138, 6.8e-05]"
12,-61.40822,121.15723,"[8.455999, 0.634029, 0.048756, 0.003828, 0.000306, 2.5e-05]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.003369, 0.044766, 0.211395, 0.213956, 0.182209, 0.278298, 0.595256, 0.500936, 1.540535, 0.873518, 0.962645, 0.742912, 0.406058, 1.210328, 2.169097, 0.814992, 2.797012, 1.95212, 0.636318, 2.470018, 2.088961, 2.110201, 0.621701, 0.907807, 0.291394, 0.052218, 0.066741, 0.010604, 0.017575, 0.002499, 0.005132, 0.003876, 0.001135, 0.000807, 0.001328, 0.000365, 6.8e-05, 0.000177, 0.000124, 0.000146, 0.000241, 0.000115, 0.000112, 4.5e-05, 4.8e-05, 8.8e-05, 4.3e-05, 2.4e-05, 1.8e-05, 3e-06, 2e-06, 1e-06, 1e-06, 1e-06, 0.0]"
15,-61.44243,121.17186,"[1.328803, 0.082545, 0.005284, 0.000346, 2.3e-05, 2e-06]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.003283, 0.079619, 0.060555, 0.087484, 0.242469, 0.134207, 0.123873, 0.21963, 0.16771, 0.358917, 0.113005, 0.41035, 0.241139, 0.077866, 0.122293, 0.037023, 0.028206, 0.021264, 0.043044, 0.017857, 0.00419, 0.005899, 0.005755, 0.001389, 0.001754, 0.000447, 0.000644, 0.000766, 0.000277, 0.000172, 0.000136, 0.000159, 0.00019, 0.000106, 6.5e-05, 9e-06, 7.4e-05, 0.00022, 0.000266, 0.000295, 0.000176, 0.000105, 0.000205, 0.000221, 0.000123, 3.6e-05, 3.7e-05, 1.2e-05, 1.3e-05, 7e-06, 4e-06, 3e-06, 1e-06, 1e-06, 0.0]"
18,-61.4805,121.09321,"[3.412359, 0.240703, 0.017261, 0.001256, 9.3e-05, 7e-06]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.000974, 0.015522, 0.038374, 0.200929, 0.065622, 0.260562, 0.310882, 0.09303, 0.751891, 0.49536, 0.380535, 0.444518, 1.07145, 0.97442, 0.949162, 1.327314, 0.290189, 0.427897, 0.166549, 0.208523, 0.091448, 0.06164, 0.058053, 0.009516, 0.039333, 0.024816, 0.012988, 0.001953, 0.001358, 0.000838, 0.000596, 0.000127, 0.000182, 0.000524, 0.000101, 0.000248, 0.000142, 0.000153, 0.000108, 9.8e-05, 0.00012, 0.000106, 0.000122, 0.000145, 0.000251, 6.9e-05, 0.000123, 8.1e-05, 2.2e-05, 4e-06, 2e-06, 2e-06, 1e-06, 1e-06, 0.0]"
21,-61.567,121.02857,"[63.151188, 5.901089, 0.562671, 0.054597, 0.005383, 0.000539]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.008024, 0.03584, 0.032383, 0.073698, 0.075771, 0.099387, 0.141981, 1.179553, 0.352539, 1.044236, 0.918883, 3.507625, 0.701477, 3.411335, 7.481046, 3.734008, 1.612902, 11.85791, 7.534793, 8.018761, 37.820595, 6.778559, 4.655047, 15.138093, 14.161876, 25.37009, 8.828642, 14.765594, 23.841103, 19.905287, 14.800638, 11.816139, 9.299224, 13.467448, 5.34949, 2.207535, 2.273754, 1.417702, 1.448046, 0.958152, 0.303456, 0.118283, 0.026424, 0.002841, 0.001072, 0.000502, 0.000302, 0.000208, 0.000392, 0.000264, 0.000307, 0.000288, 0.000128, 8e-05, 1.7e-05]"
24,-61.63782,121.11801,"[189.294662, 16.952564, 1.546952, 0.143347, 0.013486, 0.001289]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.033528, 0.043802, 0.071226, 0.117577, 0.061366, 0.049305, 0.512409, 0.777682, 1.663079, 3.632999, 2.405293, 2.798724, 1.376024, 11.437408, 5.440489, 18.885132, 16.542309, 17.986841, 25.131392, 95.407295, 123.391556, 93.222092, 86.663551, 63.163715, 17.937056, 22.893492, 46.578979, 12.511539, 32.594425, 6.892099, 5.530643, 4.316898, 7.101127, 9.313612, 9.367965, 9.867529, 9.249104, 5.628724, 9.275519, 4.459996, 0.882275, 1.033977, 0.204312, 0.108619, 0.042936, 0.012874, 0.005194, 0.003679, 0.003784, 0.001276, 0.001214, 0.000605, 0.000867, 0.000362, 0.000291]"
27,-61.65871,121.26463,"[509.308472, 22.838184, 1.338037, 0.097007, 0.008045, 0.000724]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[12.914077, 6.551283, 6.501324, 3.738314, 3.021128, 2.260713, 2.235491, 4.358908, 1.077935, 5.386256, 8.393103, 10.984337, 24.378595, 21.709784, 41.82465, 20.471376, 21.618919, 29.701511, 23.337101, 23.246267, 13.764706, 29.005095, 39.45705, 18.656803, 31.800976, 15.350597, 19.778904, 11.073695, 4.881729, 8.706446, 4.926345, 3.156989, 8.529928, 2.32493, 5.268187, 1.673913, 2.596293, 0.450167, 3.828122, 2.944272, 1.074564, 0.482454, 0.430953, 0.219013, 0.147259, 0.073094, 0.052033, 0.039014, 0.016043, 0.011853, 0.007421, 0.002615, 0.001431, 0.001277, 0.000798]"
30,-61.66549,121.35394,"[1037.317505, 45.508312, 2.53849, 0.171546, 0.013144, 0.001095]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[21.144562, 1.742949, 0.927822, 4.106505, 1.353761, 2.028388, 3.298943, 12.067779, 27.824129, 23.769794, 21.319803, 149.667694, 149.069107, 83.491356, 49.993778, 53.601997, 56.786407, 50.054226, 24.992298, 34.877655, 36.105667, 9.854882, 7.539072, 19.605421, 12.252858, 25.945215, 8.113861, 14.569249, 2.737776, 3.487814, 5.068846, 6.279713, 7.391341, 8.247696, 7.021862, 3.711095, 1.621102, 6.201398, 6.333101, 3.233645, 2.323668, 0.980214, 0.352844, 0.235211, 0.070357, 0.03452, 0.033541, 0.018133, 0.01021, 0.00507, 0.004771, 0.001276, 0.001505, 0.002003, 0.001376]"
